Gene,albidoflavus_J1074_R2,Sign
group_2684,MBMJMBDD_03203,+
group_2687,MBMJMBDD_03210,+
group_2688,MBMJMBDD_03212,-
group_2689,MBMJMBDD_03215,-
aes,MBMJMBDD_03216,+
group_2691,MBMJMBDD_03224,+
group_2692,MBMJMBDD_03233,-
group_2693,MBMJMBDD_03234,+
group_2694,MBMJMBDD_03242,-
group_2695,MBMJMBDD_03245,-
group_2696,MBMJMBDD_03246,-
yfiZ_3,MBMJMBDD_03247,+
yfhA_4,MBMJMBDD_03248,+
yfmC,MBMJMBDD_03252,+
group_27,MBMJMBDD_02590,+
btuF_1,MBMJMBDD_00690,+
group_2700,MBMJMBDD_03253,+
group_2702,MBMJMBDD_03257,-
btuD_17,MBMJMBDD_03258,-
group_2704,MBMJMBDD_03262,+
group_2705,MBMJMBDD_03263,-
group_2706,MBMJMBDD_03265,-
group_2707,MBMJMBDD_03270,-
abaF_3,MBMJMBDD_03274,-
group_2709,MBMJMBDD_03279,+
group_2710,MBMJMBDD_03288,+
group_2711,MBMJMBDD_03289,+
malY,MBMJMBDD_03292,+
kynU_1,MBMJMBDD_03297,+
group_2714,MBMJMBDD_03298,+
group_2715,MBMJMBDD_03300,+
group_2716,MBMJMBDD_03302,+
group_2717,MBMJMBDD_03303,-
menH_3,MBMJMBDD_03313,-
group_2720,MBMJMBDD_03320,-
group_2721,MBMJMBDD_03324,-
group_2722,MBMJMBDD_03329,+
group_2723,MBMJMBDD_03334,+
group_2724,MBMJMBDD_03335,+
comR_2,MBMJMBDD_03336,+
linC_2,MBMJMBDD_03337,+
group_2727,MBMJMBDD_03339,-
group_2728,MBMJMBDD_03343,-
pstS3,MBMJMBDD_03345,-
group_273,MBMJMBDD_00708,+
mutT1,MBMJMBDD_03346,-
group_2731,MBMJMBDD_03347,+
group_2732,MBMJMBDD_03355,-
group_2733,MBMJMBDD_03356,-
group_2734,MBMJMBDD_03357,+
group_2735,MBMJMBDD_03359,+
group_2736,MBMJMBDD_03360,-
menH_4,MBMJMBDD_03361,+
group_2738,MBMJMBDD_03362,-
group_2739,MBMJMBDD_03363,-
noxE,MBMJMBDD_00760,+
group_2740,MBMJMBDD_03365,+
sigE_3,MBMJMBDD_03372,+
group_2743,MBMJMBDD_03374,-
COQ5_4,MBMJMBDD_03375,+
neo,MBMJMBDD_03376,-
oleB,MBMJMBDD_03383,+
hchA,MBMJMBDD_03385,+
group_2749,MBMJMBDD_03386,-
group_2750,MBMJMBDD_03389,-
group_2751,MBMJMBDD_03391,-
group_2752,MBMJMBDD_03392,-
group_2753,MBMJMBDD_03394,-
group_2754,MBMJMBDD_03395,-
group_2755,MBMJMBDD_03396,-
group_2756,MBMJMBDD_03404,-
group_2757,MBMJMBDD_03405,+
mshD_3,MBMJMBDD_03406,-
yhcR,MBMJMBDD_03407,+
group_276,MBMJMBDD_00780,+
araA,MBMJMBDD_03409,-
sbpA,MBMJMBDD_03412,+
xylG,MBMJMBDD_03413,+
group_2763,MBMJMBDD_03415,+
mprB,MBMJMBDD_03416,-
mprA_2,MBMJMBDD_03417,-
group_2766,MBMJMBDD_03418,-
group_2767,MBMJMBDD_03422,+
group_2768,MBMJMBDD_03424,+
group_2769,MBMJMBDD_03428,-
group_277,MBMJMBDD_00783,+
group_2770,MBMJMBDD_03433,+
dtd,MBMJMBDD_03436,-
group_2772,MBMJMBDD_03438,+
group_2773,MBMJMBDD_03439,-
drrB_2,MBMJMBDD_03447,-
ehpR,MBMJMBDD_03453,+
group_2777,MBMJMBDD_03454,-
rox,MBMJMBDD_03455,+
group_2779,MBMJMBDD_03456,-
COQ3_3,MBMJMBDD_03457,+
group_2781,MBMJMBDD_03460,-
group_2783,MBMJMBDD_03472,+
group_2784,MBMJMBDD_03473,+
group_2785,MBMJMBDD_03474,+
group_2786,MBMJMBDD_03475,-
group_2787,MBMJMBDD_03476,-
group_2788,MBMJMBDD_03477,-
group_2790,MBMJMBDD_03481,+
group_2791,MBMJMBDD_03489,+
ydjE_2,MBMJMBDD_03490,-
pmdD,MBMJMBDD_03491,-
ligJ,MBMJMBDD_03493,-
galD,MBMJMBDD_03494,-
group_2796,MBMJMBDD_03496,-
group_2797,MBMJMBDD_03498,-
group_2798,MBMJMBDD_03499,-
group_2799,MBMJMBDD_03501,+
group_28,MBMJMBDD_03442,-
group_2800,MBMJMBDD_03502,-
group_2801,MBMJMBDD_03503,+
group_2802,MBMJMBDD_03511,-
group_2803,MBMJMBDD_03513,-
group_2804,MBMJMBDD_03514,+
yfmT,MBMJMBDD_03515,+
group_2806,MBMJMBDD_03516,+
group_2807,MBMJMBDD_03517,+
group_2808,MBMJMBDD_03520,+
group_2809,MBMJMBDD_03521,-
group_281,MBMJMBDD_00800,-
group_2810,MBMJMBDD_03523,+
group_2811,MBMJMBDD_03525,+
group_2812,MBMJMBDD_03531,-
group_2813,MBMJMBDD_03537,+
opuBC,MBMJMBDD_03538,+
group_2815,MBMJMBDD_03539,+
group_2817,MBMJMBDD_03549,-
ytrA_4,MBMJMBDD_03550,-
group_2819,MBMJMBDD_03551,+
group_2820,MBMJMBDD_03554,-
sucD_1,MBMJMBDD_03556,-
group_2822,MBMJMBDD_03558,+
group_2823,MBMJMBDD_03560,+
group_2824,MBMJMBDD_03562,-
group_2825,MBMJMBDD_03564,-
group_2826,MBMJMBDD_03566,-
group_2827,MBMJMBDD_03567,+
liaR_7,MBMJMBDD_03568,+
group_2829,MBMJMBDD_03570,+
phoD_1,MBMJMBDD_00875,+
panC,MBMJMBDD_03571,+
mutY,MBMJMBDD_03587,-
group_2832,MBMJMBDD_03589,+
group_2833,MBMJMBDD_03592,-
group_2834,MBMJMBDD_03596,-
group_2835,MBMJMBDD_03598,+
betI_8,MBMJMBDD_03600,+
group_2837,MBMJMBDD_03603,+
group_2838,MBMJMBDD_03604,+
group_2839,MBMJMBDD_03608,+
trpS_1,MBMJMBDD_03610,-
yieH_1,MBMJMBDD_03614,+
group_2842,MBMJMBDD_03620,+
group_2843,MBMJMBDD_03626,+
hemB,MBMJMBDD_03631,+
lysN,MBMJMBDD_03635,+
group_2846,MBMJMBDD_03639,+
group_2847,MBMJMBDD_03640,-
group_2848,MBMJMBDD_03641,-
dauA_2,MBMJMBDD_03643,+
group_2851,MBMJMBDD_03648,+
group_2852,MBMJMBDD_03651,-
group_2853,MBMJMBDD_03654,+
group_2854,MBMJMBDD_03656,+
ccs1,MBMJMBDD_03657,+
ccsA,MBMJMBDD_03658,+
group_2857,MBMJMBDD_03660,-
group_2858,MBMJMBDD_03664,-
group_2859,MBMJMBDD_03667,+
group_2860,MBMJMBDD_03671,-
group_2862,MBMJMBDD_03677,-
hcaB_2,MBMJMBDD_03678,-
fadI,MBMJMBDD_03679,+
mqnA,MBMJMBDD_03682,+
group_2871,MBMJMBDD_03695,-
group_2874,MBMJMBDD_03713,+
group_2875,MBMJMBDD_03714,+
group_2876,MBMJMBDD_03719,+
group_2877,MBMJMBDD_03741,-
group_2878,MBMJMBDD_03742,+
group_2879,MBMJMBDD_03743,-
group_2880,MBMJMBDD_03745,-
group_2881,MBMJMBDD_03746,+
group_2882,MBMJMBDD_03748,-
group_2883,MBMJMBDD_03762,-
group_2884,MBMJMBDD_03763,+
group_2885,MBMJMBDD_03764,-
rarD,MBMJMBDD_03765,-
qorB_2,MBMJMBDD_03766,-
group_2888,MBMJMBDD_03771,-
group_2889,MBMJMBDD_03772,-
ptsH_2,MBMJMBDD_01026,+
nuoJ,MBMJMBDD_03778,+
ndhE,MBMJMBDD_03779,+
ndhB_2,MBMJMBDD_03780,+
ndhB_3,MBMJMBDD_03782,+
murB,MBMJMBDD_03796,+
group_2895,MBMJMBDD_03797,-
group_2896,MBMJMBDD_03798,-
group_2897,MBMJMBDD_03805,+
group_2898,MBMJMBDD_03811,-
group_2899,MBMJMBDD_03820,+
group_290,MBMJMBDD_01091,+
panD,MBMJMBDD_03822,+
group_2901,MBMJMBDD_03823,-
rplD,MBMJMBDD_03826,+
rplV,MBMJMBDD_03830,+
truA,MBMJMBDD_03854,+
acpS,MBMJMBDD_03868,+
group_2908,MBMJMBDD_03870,-
group_2909,MBMJMBDD_03871,-
group_291,MBMJMBDD_01097,+
alr,MBMJMBDD_03880,+
rutD_2,MBMJMBDD_03881,+
group_2915,MBMJMBDD_03882,+
group_2916,MBMJMBDD_03883,+
group_2917,MBMJMBDD_03884,-
group_2918,MBMJMBDD_03888,+
hrp1,MBMJMBDD_03889,+
group_292,MBMJMBDD_01136,+
group_2920,MBMJMBDD_03890,-
group_2921,MBMJMBDD_03891,-
group_2922,MBMJMBDD_03893,-
group_2923,MBMJMBDD_03894,+
group_2924,MBMJMBDD_03906,+
group_2926,MBMJMBDD_03909,+
choD,MBMJMBDD_03914,+
group_2929,MBMJMBDD_03915,-
group_293,MBMJMBDD_01142,+
group_2930,MBMJMBDD_03918,+
group_2931,MBMJMBDD_03920,+
group_2933,MBMJMBDD_03924,-
group_2934,MBMJMBDD_03925,-
nreC_3,MBMJMBDD_03927,+
bamB_2,MBMJMBDD_03931,-
nlhH_2,MBMJMBDD_03934,+
group_2938,MBMJMBDD_03936,-
group_2939,MBMJMBDD_03937,-
comM,MBMJMBDD_01207,-
group_2940,MBMJMBDD_03938,+
group_2941,MBMJMBDD_03939,-
group_2942,MBMJMBDD_03941,+
group_2943,MBMJMBDD_03942,+
group_2946,MBMJMBDD_03947,-
yyaP_2,MBMJMBDD_03950,-
group_2948,MBMJMBDD_03952,-
group_2949,MBMJMBDD_03956,-
yehL,MBMJMBDD_03957,+
group_2951,MBMJMBDD_03959,+
group_2952,MBMJMBDD_03962,-
group_2953,MBMJMBDD_03970,+
group_2954,MBMJMBDD_03972,+
group_2955,MBMJMBDD_03974,-
group_2956,MBMJMBDD_03975,-
opuAA_1,MBMJMBDD_03979,+
group_2958,MBMJMBDD_03980,+
group_2959,MBMJMBDD_03981,+
group_296,MBMJMBDD_01275,+
group_2960,MBMJMBDD_03982,+
group_2961,MBMJMBDD_03983,-
bglA_2,MBMJMBDD_03984,-
lacF_2,MBMJMBDD_03986,-
mdxE,MBMJMBDD_03987,-
cah,MBMJMBDD_03988,+
group_2966,MBMJMBDD_03989,+
dppA_4,MBMJMBDD_03990,-
group_2968,MBMJMBDD_03992,+
group_2969,MBMJMBDD_03995,+
group_2970,MBMJMBDD_03997,+
rocD,MBMJMBDD_03998,-
group_2972,MBMJMBDD_04002,-
group_2973,MBMJMBDD_04004,-
trpS_2,MBMJMBDD_04006,+
group_2975,MBMJMBDD_04008,+
ghrA_2,MBMJMBDD_04010,+
dprE1,MBMJMBDD_04014,-
yhjD,MBMJMBDD_04015,+
group_298,MBMJMBDD_01278,+
group_2980,MBMJMBDD_04016,-
group_2981,MBMJMBDD_04017,+
group_2982,MBMJMBDD_04018,+
group_2985,MBMJMBDD_04027,-
group_2986,MBMJMBDD_04033,-
group_2987,MBMJMBDD_04034,+
group_2988,MBMJMBDD_04036,+
group_2989,MBMJMBDD_04037,-
group_299,MBMJMBDD_01507,-
group_2990,MBMJMBDD_04038,-
group_2991,MBMJMBDD_04039,-
group_2992,MBMJMBDD_04051,-
group_2993,MBMJMBDD_04054,-
group_2995,MBMJMBDD_04056,+
scmP,MBMJMBDD_04060,+
group_2998,MBMJMBDD_04062,-
group_300,MBMJMBDD_01285,+
group_3000,MBMJMBDD_04065,+
group_3001,MBMJMBDD_04066,+
group_3002,MBMJMBDD_04067,+
group_3003,MBMJMBDD_04068,+
mglA_2,MBMJMBDD_04071,+
group_3006,MBMJMBDD_04079,+
ynfM,MBMJMBDD_04081,-
group_3008,MBMJMBDD_04088,+
group_3010,MBMJMBDD_04094,+
group_3011,MBMJMBDD_04102,+
group_3012,MBMJMBDD_04107,+
group_3013,MBMJMBDD_04113,-
group_3015,MBMJMBDD_04115,-
group_3016,MBMJMBDD_04117,+
group_3017,MBMJMBDD_04119,-
group_3018,MBMJMBDD_04120,-
birA,MBMJMBDD_04122,+
mviN,MBMJMBDD_01287,+
group_3020,MBMJMBDD_04127,-
group_3021,MBMJMBDD_04129,+
yknY_3,MBMJMBDD_04130,+
group_3023,MBMJMBDD_04132,-
group_3024,MBMJMBDD_04133,-
metB,MBMJMBDD_04134,+
group_3026,MBMJMBDD_04135,-
group_3027,MBMJMBDD_04136,-
group_3028,MBMJMBDD_04137,-
group_3029,MBMJMBDD_04142,-
mca_1,MBMJMBDD_04143,+
group_3031,MBMJMBDD_04144,+
group_3032,MBMJMBDD_04146,-
group_3033,MBMJMBDD_04147,+
group_3034,MBMJMBDD_04148,-
msrP_1,MBMJMBDD_04150,+
nagAa,MBMJMBDD_04151,+
group_3037,MBMJMBDD_04157,+
group_3038,MBMJMBDD_04158,-
aspC,MBMJMBDD_04161,-
inhA_1,MBMJMBDD_04162,+
alpha-LP_1,MBMJMBDD_04163,+
group_3042,MBMJMBDD_04164,+
dag,MBMJMBDD_04165,-
iolC_1,MBMJMBDD_04167,+
xynR,MBMJMBDD_04168,+
group_3046,MBMJMBDD_04170,+
mntH,MBMJMBDD_04187,+
cmoM_1,MBMJMBDD_04188,+
chiD,MBMJMBDD_04190,-
group_3053,MBMJMBDD_04191,+
group_3054,MBMJMBDD_04194,+
group_3055,MBMJMBDD_04198,+
degU_6,MBMJMBDD_04199,+
group_3058,MBMJMBDD_04206,+
group_3059,MBMJMBDD_04210,+
aguA,MBMJMBDD_01303,-
gpr,MBMJMBDD_04211,-
group_3061,MBMJMBDD_04215,+
group_3062,MBMJMBDD_04219,-
yknY_4,MBMJMBDD_04220,-
group_3064,MBMJMBDD_04227,-
group_3065,MBMJMBDD_04228,-
pknD_10,MBMJMBDD_04233,+
group_3068,MBMJMBDD_04234,+
group_3069,MBMJMBDD_04237,+
xseB,MBMJMBDD_04239,-
puuP,MBMJMBDD_04241,-
group_3072,MBMJMBDD_04244,-
purD_2,MBMJMBDD_04255,-
group_3075,MBMJMBDD_04256,+
gpm2,MBMJMBDD_04258,+
group_3077,MBMJMBDD_04260,+
speE_2,MBMJMBDD_04261,+
group_3079,MBMJMBDD_04267,-
group_308,MBMJMBDD_01312,-
lacG_2,MBMJMBDD_04268,-
araP,MBMJMBDD_04269,-
group_3082,MBMJMBDD_04270,-
group_3083,MBMJMBDD_04273,+
group_3085,MBMJMBDD_04283,-
iucD_1,MBMJMBDD_04286,-
ddc_1,MBMJMBDD_04287,-
viuB_2,MBMJMBDD_04288,-
group_3089,MBMJMBDD_04292,+
group_3090,MBMJMBDD_04293,+
mce3R,MBMJMBDD_04311,+
fieF,MBMJMBDD_04316,+
group_3099,MBMJMBDD_04320,-
group_31,MBMJMBDD_01830,+
group_310,MBMJMBDD_01318,+
opuE,MBMJMBDD_04321,+
gbh,MBMJMBDD_04322,+
ilvB,MBMJMBDD_04323,+
group_3103,MBMJMBDD_04324,+
ptp,MBMJMBDD_04326,+
group_3105,MBMJMBDD_04332,+
iolE,MBMJMBDD_04334,-
iolC_2,MBMJMBDD_04335,+
group_3108,MBMJMBDD_04336,+
iolB,MBMJMBDD_04337,+
iolD,MBMJMBDD_04338,+
group_3112,MBMJMBDD_04346,-
group_3113,MBMJMBDD_04349,-
group_3114,MBMJMBDD_04352,+
group_3115,MBMJMBDD_04353,-
group_3116,MBMJMBDD_04357,-
group_3117,MBMJMBDD_04358,+
group_3118,MBMJMBDD_04361,+
group_312,MBMJMBDD_01379,+
group_3120,MBMJMBDD_04365,+
ettA_3,MBMJMBDD_04366,+
group_3122,MBMJMBDD_04371,-
iolS_2,MBMJMBDD_04373,+
pcm_4,MBMJMBDD_04374,+
group_3125,MBMJMBDD_04376,-
group_3126,MBMJMBDD_04379,-
group_3127,MBMJMBDD_04380,-
group_3128,MBMJMBDD_04381,-
licH_1,MBMJMBDD_04385,-
group_313,MBMJMBDD_01401,-
group_3130,MBMJMBDD_04386,-
group_3131,MBMJMBDD_04387,-
group_3132,MBMJMBDD_04388,+
group_3133,MBMJMBDD_04389,+
group_3134,MBMJMBDD_04396,+
group_3135,MBMJMBDD_04403,+
pepN_2,MBMJMBDD_04405,-
group_3137,MBMJMBDD_04406,+
gabP_3,MBMJMBDD_04412,-
nei1,MBMJMBDD_04414,+
group_314,MBMJMBDD_01529,-
group_3141,MBMJMBDD_04416,+
group_3143,MBMJMBDD_04426,-
folC,MBMJMBDD_04428,+
mreB_1,MBMJMBDD_04431,+
group_3146,MBMJMBDD_04436,+
group_3147,MBMJMBDD_04444,-
group_3148,MBMJMBDD_04445,-
htpX_3,MBMJMBDD_04452,-
group_3150,MBMJMBDD_04453,+
group_3151,MBMJMBDD_04460,+
group_3152,MBMJMBDD_04465,+
degV,MBMJMBDD_04466,+
yceI_2,MBMJMBDD_04471,+
group_3156,MBMJMBDD_04472,+
hemW,MBMJMBDD_04477,+
group_3158,MBMJMBDD_04479,-
group_3159,MBMJMBDD_04480,-
group_316,MBMJMBDD_01534,-
rsmE,MBMJMBDD_04484,+
group_3161,MBMJMBDD_04486,+
rnz,MBMJMBDD_04487,+
group_3163,MBMJMBDD_04488,-
group_3164,MBMJMBDD_04489,+
oleD,MBMJMBDD_04493,+
group_3166,MBMJMBDD_04494,-
group_3167,MBMJMBDD_04495,+
group_3168,MBMJMBDD_04496,-
licH_2,MBMJMBDD_04497,-
group_317,MBMJMBDD_01535,-
group_3170,MBMJMBDD_04499,+
group_3171,MBMJMBDD_04501,+
yjbR,MBMJMBDD_04504,+
group_3173,MBMJMBDD_04505,+
group_3174,MBMJMBDD_04507,-
prtS,MBMJMBDD_04508,-
group_3176,MBMJMBDD_04510,+
group_3177,MBMJMBDD_04513,+
zur,MBMJMBDD_04514,-
btuD_21,MBMJMBDD_04516,-
nhaK_1,MBMJMBDD_01564,-
znuA,MBMJMBDD_04517,-
group_3181,MBMJMBDD_04521,+
group_3182,MBMJMBDD_04523,+
group_3183,MBMJMBDD_04524,+
group_3184,MBMJMBDD_04530,+
group_3185,MBMJMBDD_04540,+
group_3186,MBMJMBDD_04545,-
cutA,MBMJMBDD_04551,+
ureD_1,MBMJMBDD_04553,-
ureG_1,MBMJMBDD_04554,-
ureF_1,MBMJMBDD_04555,-
ureC_2,MBMJMBDD_04556,-
ureB_1,MBMJMBDD_04557,-
ybjJ_4,MBMJMBDD_04559,-
tam_7,MBMJMBDD_04563,-
group_3196,MBMJMBDD_04570,+
group_3197,MBMJMBDD_04574,+
hrdA,MBMJMBDD_04575,-
group_3199,MBMJMBDD_04580,-
yedK,MBMJMBDD_01590,-
dgt,MBMJMBDD_04582,-
group_3201,MBMJMBDD_04583,+
fgd1,MBMJMBDD_04586,+
ligD_2,MBMJMBDD_04587,+
katE,MBMJMBDD_04588,+
group_3206,MBMJMBDD_04589,+
group_3207,MBMJMBDD_04590,-
yghA,MBMJMBDD_04591,-
group_3209,MBMJMBDD_04592,-
group_3210,MBMJMBDD_04593,-
prmC_5,MBMJMBDD_04594,-
group_3213,MBMJMBDD_04596,-
mreB_2,MBMJMBDD_04597,-
entS_5,MBMJMBDD_04598,+
group_3218,MBMJMBDD_04601,-
cysZ,MBMJMBDD_04604,+
ubiB,MBMJMBDD_01615,+
group_3220,MBMJMBDD_04605,-
nagZ_4,MBMJMBDD_04606,+
acpM,MBMJMBDD_04610,-
fabD,MBMJMBDD_04612,-
group_3224,MBMJMBDD_04619,-
group_3225,MBMJMBDD_04622,-
group_3226,MBMJMBDD_04623,-
group_3227,MBMJMBDD_04624,-
group_3228,MBMJMBDD_04625,+
group_3229,MBMJMBDD_04631,+
group_323,MBMJMBDD_01626,+
group_3230,MBMJMBDD_04633,-
group_3231,MBMJMBDD_04635,+
group_3232,MBMJMBDD_04636,+
group_3233,MBMJMBDD_04638,-
group_3234,MBMJMBDD_04640,-
group_3235,MBMJMBDD_04642,-
group_3236,MBMJMBDD_04643,-
group_3237,MBMJMBDD_04644,+
group_3238,MBMJMBDD_04646,-
hxpA,MBMJMBDD_04649,+
group_3240,MBMJMBDD_04650,-
mdtD_4,MBMJMBDD_04651,+
group_3242,MBMJMBDD_04654,+
group_3243,MBMJMBDD_04657,-
group_3244,MBMJMBDD_04659,-
group_3245,MBMJMBDD_04661,-
mshA_3,MBMJMBDD_04662,+
group_3247,MBMJMBDD_04664,+
uctC_2,MBMJMBDD_04669,+
stp_4,MBMJMBDD_04672,+
caeB,MBMJMBDD_01628,+
group_3254,MBMJMBDD_04679,-
group_3255,MBMJMBDD_04681,+
group_3256,MBMJMBDD_04682,+
group_3257,MBMJMBDD_04683,-
eda,MBMJMBDD_04684,-
group_3259,MBMJMBDD_04685,-
mshA_1,MBMJMBDD_01633,-
group_3261,MBMJMBDD_04689,-
group_3262,MBMJMBDD_04690,+
group_3263,MBMJMBDD_04691,+
yodB,MBMJMBDD_04692,+
acg,MBMJMBDD_04693,+
group_3266,MBMJMBDD_04694,+
acsA_3,MBMJMBDD_04695,-
group_3268,MBMJMBDD_04698,-
hcaB_3,MBMJMBDD_04699,-
degP,MBMJMBDD_01658,-
group_3270,MBMJMBDD_04705,+
group_3271,MBMJMBDD_04708,+
group_3272,MBMJMBDD_04709,-
hmuV,MBMJMBDD_04710,-
btuC_3,MBMJMBDD_04711,-
btuF_3,MBMJMBDD_04712,-
group_3276,MBMJMBDD_04713,+
group_3277,MBMJMBDD_04715,+
group_3278,MBMJMBDD_04720,+
rip2,MBMJMBDD_04721,-
group_328,MBMJMBDD_01706,-
mmcO,MBMJMBDD_04726,-
group_3281,MBMJMBDD_04728,-
group_3282,MBMJMBDD_04729,-
nfdA_1,MBMJMBDD_04739,+
group_3284,MBMJMBDD_04740,-
dasA_3,MBMJMBDD_04743,+
cytR_4,MBMJMBDD_04747,+
aml,MBMJMBDD_04748,+
pulA,MBMJMBDD_04749,+
group_329,MBMJMBDD_01758,+
ophA1,MBMJMBDD_04753,-
group_3293,MBMJMBDD_04754,-
group_3294,MBMJMBDD_04755,-
group_3295,MBMJMBDD_04756,-
group_3296,MBMJMBDD_04758,-
group_3297,MBMJMBDD_04759,+
yfgD,MBMJMBDD_04760,-
mutA,MBMJMBDD_04765,-
group_33,MBMJMBDD_02589,+
group_330,MBMJMBDD_01765,+
cobK,MBMJMBDD_04770,-
ywiE,MBMJMBDD_04774,-
ppk2B,MBMJMBDD_04775,+
group_3303,MBMJMBDD_04778,+
lipA,MBMJMBDD_04787,-
group_3305,MBMJMBDD_04791,+
group_3306,MBMJMBDD_04792,+
group_3307,MBMJMBDD_04793,+
pldh-t,MBMJMBDD_04795,+
group_3309,MBMJMBDD_04796,-
btuD_10,MBMJMBDD_01815,-
pepA,MBMJMBDD_04802,-
group_3311,MBMJMBDD_04804,+
cobT_1,MBMJMBDD_04805,-
group_3313,MBMJMBDD_04806,+
group_3314,MBMJMBDD_04807,-
cmoM_2,MBMJMBDD_04809,-
group_3316,MBMJMBDD_04812,+
vraR_4,MBMJMBDD_04814,+
swrC,MBMJMBDD_04815,+
group_3319,MBMJMBDD_04818,-
ctaF,MBMJMBDD_04825,+
garK_2,MBMJMBDD_04834,-
group_3322,MBMJMBDD_04835,-
group_3323,MBMJMBDD_04840,-
group_3324,MBMJMBDD_04844,+
group_3325,MBMJMBDD_04849,+
group_3326,MBMJMBDD_04850,+
group_3327,MBMJMBDD_04854,+
group_3328,MBMJMBDD_04855,-
group_3329,MBMJMBDD_04858,+
group_333,MBMJMBDD_01827,-
degU_7,MBMJMBDD_04859,+
ldhA,MBMJMBDD_04860,+
menF_1,MBMJMBDD_04861,-
group_3333,MBMJMBDD_04863,+
yedY1,MBMJMBDD_04865,+
hcnC,MBMJMBDD_04870,-
thcD,MBMJMBDD_04871,+
group_3337,MBMJMBDD_04872,+
thiE,MBMJMBDD_04873,+
group_3339,MBMJMBDD_04875,+
crtNb,MBMJMBDD_04876,-
group_3341,MBMJMBDD_04878,-
group_3342,MBMJMBDD_04883,-
group_3343,MBMJMBDD_04897,+
group_3344,MBMJMBDD_04898,+
ileS,MBMJMBDD_04902,-
group_3346,MBMJMBDD_04908,+
group_3347,MBMJMBDD_04914,-
group_3348,MBMJMBDD_04917,+
group_3349,MBMJMBDD_04918,+
group_335,MBMJMBDD_01853,-
priA_1,MBMJMBDD_04928,+
group_3351,MBMJMBDD_04931,-
hisI,MBMJMBDD_04933,+
group_3353,MBMJMBDD_04934,-
group_3354,MBMJMBDD_04937,+
group_3355,MBMJMBDD_04938,+
group_3356,MBMJMBDD_04942,+
lgt,MBMJMBDD_04943,+
mcl2,MBMJMBDD_04944,-
rbsK_2,MBMJMBDD_04946,-
group_3360,MBMJMBDD_04947,-
group_3361,MBMJMBDD_04948,-
group_3362,MBMJMBDD_04949,-
group_3363,MBMJMBDD_04950,-
group_3364,MBMJMBDD_04951,+
group_3365,MBMJMBDD_04954,-
group_3366,MBMJMBDD_04957,-
group_3367,MBMJMBDD_04959,-
group_3369,MBMJMBDD_04961,+
iucD_2,MBMJMBDD_04964,+
cpdB,MBMJMBDD_04965,-
group_3372,MBMJMBDD_04967,-
group_3373,MBMJMBDD_04979,+
hrpB,MBMJMBDD_04980,-
group_3375,MBMJMBDD_04983,-
coaE,MBMJMBDD_04985,+
group_3377,MBMJMBDD_04986,+
group_3379,MBMJMBDD_04990,+
ydaF_1,MBMJMBDD_01892,+
group_3380,MBMJMBDD_04991,-
group_3381,MBMJMBDD_04993,-
group_3382,MBMJMBDD_04997,-
group_3383,MBMJMBDD_04998,+
group_3384,MBMJMBDD_04999,+
rfnT,MBMJMBDD_05000,-
ogt_3,MBMJMBDD_05001,-
glpQ_2,MBMJMBDD_05002,-
uvrB,MBMJMBDD_05004,+
aroQ,MBMJMBDD_05008,+
group_339,MBMJMBDD_01902,+
gloC,MBMJMBDD_05009,-
group_3391,MBMJMBDD_05012,+
group_3392,MBMJMBDD_05013,+
group_3393,MBMJMBDD_05031,+
ctaA,MBMJMBDD_05032,-
group_3395,MBMJMBDD_05033,-
group_3396,MBMJMBDD_05035,+
group_3397,MBMJMBDD_05044,-
group_3398,MBMJMBDD_05045,+
group_3399,MBMJMBDD_05047,-
group_34,MBMJMBDD_02794,-
degU_8,MBMJMBDD_05050,-
group_3401,MBMJMBDD_05051,-
group_3402,MBMJMBDD_05052,-
aldH,MBMJMBDD_05053,+
nicR,MBMJMBDD_05056,-
nemA,MBMJMBDD_05057,+
group_3406,MBMJMBDD_05064,+
group_3407,MBMJMBDD_05065,+
group_3408,MBMJMBDD_05066,-
group_3409,MBMJMBDD_05067,-
group_341,MBMJMBDD_01923,-
cobB_3,MBMJMBDD_05068,-
group_3411,MBMJMBDD_05070,-
cobQ,MBMJMBDD_05071,-
cobD,MBMJMBDD_05072,-
group_3414,MBMJMBDD_05073,-
drdA,MBMJMBDD_05075,+
group_3416,MBMJMBDD_05076,+
group_3418,MBMJMBDD_05079,-
group_3419,MBMJMBDD_05084,+
group_342,MBMJMBDD_01931,-
group_3420,MBMJMBDD_05087,+
group_3421,MBMJMBDD_05090,-
group_3422,MBMJMBDD_05092,+
group_3423,MBMJMBDD_05093,+
group_3424,MBMJMBDD_05094,-
frc,MBMJMBDD_05095,-
group_3426,MBMJMBDD_05096,-
hutI_2,MBMJMBDD_05102,-
group_3428,MBMJMBDD_05104,-
group_3429,MBMJMBDD_05105,+
group_3430,MBMJMBDD_05109,+
yycB,MBMJMBDD_05111,+
group_3432,MBMJMBDD_05113,+
ydaD_2,MBMJMBDD_05119,-
group_3434,MBMJMBDD_05125,+
group_3435,MBMJMBDD_05130,+
group_3436,MBMJMBDD_05135,+
group_3437,MBMJMBDD_05136,-
group_3438,MBMJMBDD_05137,+
group_3439,MBMJMBDD_05138,-
phrB_2,MBMJMBDD_01939,+
ppnK,MBMJMBDD_05141,+
group_3441,MBMJMBDD_05144,+
kanE,MBMJMBDD_05145,+
pucR,MBMJMBDD_05147,-
