Gene,albidoflavus_SM254,Sign
group_2687,NDLJOBPC_03294,+
group_2688,NDLJOBPC_03302,-
group_2689,NDLJOBPC_03305,-
aes,NDLJOBPC_03306,+
group_2691,NDLJOBPC_03311,+
group_2692,NDLJOBPC_03320,-
group_2693,NDLJOBPC_03321,+
group_2694,NDLJOBPC_03329,-
group_2695,NDLJOBPC_03332,-
group_2696,NDLJOBPC_03333,-
yfiZ_3,NDLJOBPC_03334,+
yfhA_4,NDLJOBPC_03335,+
yfmC,NDLJOBPC_03338,+
group_27,NDLJOBPC_02794,+
btuF_1,NDLJOBPC_00917,+
group_2700,NDLJOBPC_03339,+
group_2702,NDLJOBPC_03343,-
btuD_17,NDLJOBPC_03344,-
group_2704,NDLJOBPC_03348,+
group_2705,NDLJOBPC_03349,-
group_2706,NDLJOBPC_03351,-
group_2707,NDLJOBPC_03356,-
abaF_3,NDLJOBPC_03360,-
group_2709,NDLJOBPC_03365,+
group_2710,NDLJOBPC_03370,+
group_2711,NDLJOBPC_03371,+
malY,NDLJOBPC_03374,+
kynU_1,NDLJOBPC_03379,+
group_2714,NDLJOBPC_03380,+
group_2715,NDLJOBPC_03382,+
group_2716,NDLJOBPC_03384,+
group_2717,NDLJOBPC_03385,-
menH_3,NDLJOBPC_03395,-
group_2720,NDLJOBPC_03401,-
group_2721,NDLJOBPC_03405,-
group_2722,NDLJOBPC_03410,+
group_2723,NDLJOBPC_03415,+
group_2724,NDLJOBPC_03416,+
comR_2,NDLJOBPC_03417,+
linC_2,NDLJOBPC_03418,+
group_2727,NDLJOBPC_03420,-
group_2728,NDLJOBPC_03424,-
pstS3,NDLJOBPC_03426,-
group_273,NDLJOBPC_00934,+
mutT1,NDLJOBPC_03427,-
group_2731,NDLJOBPC_03428,+
group_2732,NDLJOBPC_03436,-
group_2733,NDLJOBPC_03437,-
group_2734,NDLJOBPC_03438,+
group_2735,NDLJOBPC_03440,+
group_2736,NDLJOBPC_03441,-
menH_4,NDLJOBPC_03442,+
group_2738,NDLJOBPC_03443,-
group_2739,NDLJOBPC_03444,-
noxE,NDLJOBPC_00984,+
group_2740,NDLJOBPC_03446,+
sigE_3,NDLJOBPC_03454,+
group_2743,NDLJOBPC_03456,-
COQ5_4,NDLJOBPC_03457,+
neo,NDLJOBPC_03458,-
oleB,NDLJOBPC_03465,+
hchA,NDLJOBPC_03467,+
group_2749,NDLJOBPC_03468,-
group_2750,NDLJOBPC_03471,-
group_2751,NDLJOBPC_03473,-
group_2752,NDLJOBPC_03474,-
group_2753,NDLJOBPC_03476,-
group_2754,NDLJOBPC_03477,-
group_2755,NDLJOBPC_03478,-
group_2756,NDLJOBPC_03486,-
group_2757,NDLJOBPC_03487,+
mshD_3,NDLJOBPC_03488,-
yhcR,NDLJOBPC_03489,+
group_276,NDLJOBPC_01009,+
araA,NDLJOBPC_03491,-
sbpA,NDLJOBPC_03497,+
xylG,NDLJOBPC_03498,+
group_2763,NDLJOBPC_03500,+
mprB,NDLJOBPC_03501,-
mprA_2,NDLJOBPC_03502,-
group_2766,NDLJOBPC_03503,-
group_2767,NDLJOBPC_03507,+
group_2768,NDLJOBPC_03509,+
group_2769,NDLJOBPC_03513,-
group_277,NDLJOBPC_01012,+
group_2770,NDLJOBPC_03518,+
dtd,NDLJOBPC_03521,-
group_2772,NDLJOBPC_03523,+
group_2773,NDLJOBPC_03524,-
drrB_2,NDLJOBPC_03534,-
ehpR,NDLJOBPC_03539,+
group_2777,NDLJOBPC_03540,-
rox,NDLJOBPC_03541,+
group_2779,NDLJOBPC_03542,-
COQ3_3,NDLJOBPC_03543,+
group_2781,NDLJOBPC_03546,-
group_2783,NDLJOBPC_03548,+
group_2784,NDLJOBPC_03549,+
group_2785,NDLJOBPC_03550,+
group_2786,NDLJOBPC_03551,-
group_2787,NDLJOBPC_03552,-
group_2788,NDLJOBPC_03553,-
group_2790,NDLJOBPC_03557,+
group_2791,NDLJOBPC_03563,+
ydjE_2,NDLJOBPC_03564,-
pmdD,NDLJOBPC_03565,-
ligJ,NDLJOBPC_03567,-
galD,NDLJOBPC_03568,-
group_2796,NDLJOBPC_03570,-
group_2797,NDLJOBPC_03572,-
group_2798,NDLJOBPC_03573,-
group_2799,NDLJOBPC_03575,+
group_28,NDLJOBPC_03527,-
group_2800,NDLJOBPC_03576,-
group_2801,NDLJOBPC_03577,+
group_2802,NDLJOBPC_03585,-
group_2803,NDLJOBPC_03587,-
group_2804,NDLJOBPC_03588,+
yfmT,NDLJOBPC_03589,+
group_2806,NDLJOBPC_03590,+
group_2807,NDLJOBPC_03591,+
group_2808,NDLJOBPC_03594,+
group_2809,NDLJOBPC_03595,-
group_281,NDLJOBPC_01022,-
group_2810,NDLJOBPC_03597,+
group_2811,NDLJOBPC_03598,+
group_2812,NDLJOBPC_03605,-
group_2813,NDLJOBPC_03611,+
opuBC,NDLJOBPC_03612,+
group_2815,NDLJOBPC_03613,+
group_2817,NDLJOBPC_03623,-
ytrA_4,NDLJOBPC_03624,-
group_2819,NDLJOBPC_03625,+
group_2820,NDLJOBPC_03628,-
sucD_1,NDLJOBPC_03630,-
group_2822,NDLJOBPC_03632,+
group_2823,NDLJOBPC_03634,+
group_2824,NDLJOBPC_03636,-
group_2825,NDLJOBPC_03638,-
group_2826,NDLJOBPC_03640,-
group_2827,NDLJOBPC_03641,+
liaR_7,NDLJOBPC_03642,+
group_2829,NDLJOBPC_03644,+
phoD_1,NDLJOBPC_01097,+
panC,NDLJOBPC_03645,+
mutY,NDLJOBPC_03661,-
group_2832,NDLJOBPC_03663,+
group_2833,NDLJOBPC_03666,-
group_2834,NDLJOBPC_03670,-
group_2835,NDLJOBPC_03672,+
betI_8,NDLJOBPC_03674,+
group_2837,NDLJOBPC_03677,+
group_2838,NDLJOBPC_03678,+
group_2839,NDLJOBPC_03682,+
trpS_1,NDLJOBPC_03684,-
yieH_1,NDLJOBPC_03688,+
group_2842,NDLJOBPC_03694,+
group_2843,NDLJOBPC_03700,+
hemB,NDLJOBPC_03705,+
lysN,NDLJOBPC_03711,+
group_2846,NDLJOBPC_03715,+
group_2847,NDLJOBPC_03716,-
group_2848,NDLJOBPC_03717,-
dauA_2,NDLJOBPC_03719,+
group_2851,NDLJOBPC_03725,+
group_2852,NDLJOBPC_03728,-
group_2853,NDLJOBPC_03731,+
group_2854,NDLJOBPC_03733,+
ccs1,NDLJOBPC_03734,+
ccsA,NDLJOBPC_03735,+
group_2857,NDLJOBPC_03737,-
group_2858,NDLJOBPC_03741,-
group_2859,NDLJOBPC_03744,+
group_2860,NDLJOBPC_03748,-
group_2862,NDLJOBPC_03754,-
hcaB_2,NDLJOBPC_03755,-
fadI,NDLJOBPC_03756,+
mqnA,NDLJOBPC_03759,+
group_2871,NDLJOBPC_03773,-
group_2874,NDLJOBPC_03790,+
group_2875,NDLJOBPC_03791,+
group_2876,NDLJOBPC_03794,+
group_2877,NDLJOBPC_03819,-
group_2878,NDLJOBPC_03820,+
group_2879,NDLJOBPC_03821,-
group_2880,NDLJOBPC_03823,-
group_2881,NDLJOBPC_03824,+
group_2882,NDLJOBPC_03826,-
group_2883,NDLJOBPC_03830,-
group_2884,NDLJOBPC_03831,+
group_2885,NDLJOBPC_03832,-
rarD,NDLJOBPC_03833,-
qorB_2,NDLJOBPC_03834,-
group_2888,NDLJOBPC_03839,-
group_2889,NDLJOBPC_03840,-
ptsH_2,NDLJOBPC_01260,+
nuoJ,NDLJOBPC_03846,+
ndhE,NDLJOBPC_03847,+
ndhB_2,NDLJOBPC_03848,+
ndhB_3,NDLJOBPC_03850,+
murB,NDLJOBPC_03881,+
group_2895,NDLJOBPC_03882,-
group_2896,NDLJOBPC_03883,-
group_2897,NDLJOBPC_03890,+
group_2898,NDLJOBPC_03896,-
group_2899,NDLJOBPC_03905,+
group_290,NDLJOBPC_01324,+
panD,NDLJOBPC_03907,+
group_2901,NDLJOBPC_03908,-
rplD,NDLJOBPC_03911,+
rplV,NDLJOBPC_03915,+
truA,NDLJOBPC_03939,+
acpS,NDLJOBPC_03953,+
group_2908,NDLJOBPC_03955,-
group_2909,NDLJOBPC_03956,-
group_291,NDLJOBPC_01330,+
alr,NDLJOBPC_03966,+
rutD_2,NDLJOBPC_03967,+
group_2915,NDLJOBPC_03968,+
group_2916,NDLJOBPC_03969,+
group_2917,NDLJOBPC_03970,-
group_2918,NDLJOBPC_03974,+
hrp1,NDLJOBPC_03975,+
group_292,NDLJOBPC_01370,+
group_2920,NDLJOBPC_03976,-
group_2921,NDLJOBPC_03977,-
group_2922,NDLJOBPC_03979,-
group_2923,NDLJOBPC_03980,+
group_2924,NDLJOBPC_03992,+
group_2926,NDLJOBPC_03995,+
choD,NDLJOBPC_04000,+
group_2929,NDLJOBPC_04001,-
group_293,NDLJOBPC_01376,+
group_2930,NDLJOBPC_04004,+
group_2931,NDLJOBPC_04006,+
group_2933,NDLJOBPC_04010,-
group_2934,NDLJOBPC_04011,-
nreC_3,NDLJOBPC_04013,+
bamB_2,NDLJOBPC_04017,-
nlhH_2,NDLJOBPC_04020,+
group_2938,NDLJOBPC_04022,-
group_2939,NDLJOBPC_04023,-
comM,NDLJOBPC_01441,-
group_2940,NDLJOBPC_04024,+
group_2941,NDLJOBPC_04025,-
group_2942,NDLJOBPC_04027,+
group_2943,NDLJOBPC_04028,+
group_2946,NDLJOBPC_04033,-
yyaP_2,NDLJOBPC_04048,-
group_2948,NDLJOBPC_04050,-
group_2949,NDLJOBPC_04054,-
yehL,NDLJOBPC_04055,+
group_2951,NDLJOBPC_04057,+
group_2952,NDLJOBPC_04060,-
group_2953,NDLJOBPC_04070,+
group_2954,NDLJOBPC_04072,+
group_2955,NDLJOBPC_04074,-
group_2956,NDLJOBPC_04075,-
opuAA_1,NDLJOBPC_04081,+
group_2958,NDLJOBPC_04082,+
group_2959,NDLJOBPC_04083,+
group_296,NDLJOBPC_01518,+
group_2960,NDLJOBPC_04084,+
group_2961,NDLJOBPC_04085,-
bglA_2,NDLJOBPC_04086,-
lacF_2,NDLJOBPC_04088,-
mdxE,NDLJOBPC_04089,-
cah,NDLJOBPC_04090,+
group_2966,NDLJOBPC_04091,+
dppA_4,NDLJOBPC_04092,-
group_2968,NDLJOBPC_04094,+
group_2969,NDLJOBPC_04097,+
group_2970,NDLJOBPC_04099,+
rocD,NDLJOBPC_04100,-
group_2972,NDLJOBPC_04104,-
group_2973,NDLJOBPC_04106,-
trpS_2,NDLJOBPC_04108,+
group_2975,NDLJOBPC_04110,+
ghrA_2,NDLJOBPC_04112,+
dprE1,NDLJOBPC_04116,-
yhjD,NDLJOBPC_04117,+
group_298,NDLJOBPC_01521,+
group_2980,NDLJOBPC_04118,-
group_2981,NDLJOBPC_04119,+
group_2982,NDLJOBPC_04120,+
group_2985,NDLJOBPC_04127,-
group_2986,NDLJOBPC_04133,-
group_2987,NDLJOBPC_04134,+
group_2988,NDLJOBPC_04136,+
group_2989,NDLJOBPC_04137,-
group_299,NDLJOBPC_01750,-
group_2990,NDLJOBPC_04138,-
group_2991,NDLJOBPC_04139,-
group_2992,NDLJOBPC_04151,-
group_2993,NDLJOBPC_04154,-
group_2995,NDLJOBPC_04155,+
scmP,NDLJOBPC_04159,+
group_2998,NDLJOBPC_04161,-
group_300,NDLJOBPC_01528,+
group_3000,NDLJOBPC_04164,+
group_3001,NDLJOBPC_04165,+
group_3002,NDLJOBPC_04166,+
group_3003,NDLJOBPC_04167,+
mglA_2,NDLJOBPC_04170,+
group_3006,NDLJOBPC_04178,+
ynfM,NDLJOBPC_04180,-
group_3008,NDLJOBPC_04187,+
group_3010,NDLJOBPC_04193,+
group_3011,NDLJOBPC_04200,+
group_3012,NDLJOBPC_04205,+
group_3013,NDLJOBPC_04211,-
group_3015,NDLJOBPC_04213,-
group_3016,NDLJOBPC_04215,+
group_3017,NDLJOBPC_04217,-
group_3018,NDLJOBPC_04218,-
birA,NDLJOBPC_04220,+
mviN,NDLJOBPC_01530,+
group_3020,NDLJOBPC_04225,-
group_3021,NDLJOBPC_04227,+
yknY_3,NDLJOBPC_04228,+
group_3023,NDLJOBPC_04230,-
group_3024,NDLJOBPC_04231,-
metB,NDLJOBPC_04232,+
group_3026,NDLJOBPC_04233,-
group_3027,NDLJOBPC_04234,-
group_3028,NDLJOBPC_04235,-
group_3029,NDLJOBPC_04240,-
mca_1,NDLJOBPC_04241,+
group_3031,NDLJOBPC_04242,+
group_3032,NDLJOBPC_04244,-
group_3033,NDLJOBPC_04245,+
group_3034,NDLJOBPC_04246,-
msrP_1,NDLJOBPC_04248,+
nagAa,NDLJOBPC_04249,+
group_3037,NDLJOBPC_04259,+
group_3038,NDLJOBPC_04260,-
aspC,NDLJOBPC_04263,-
inhA_1,NDLJOBPC_04264,+
alpha-LP_1,NDLJOBPC_04265,+
group_3042,NDLJOBPC_04267,+
dag,NDLJOBPC_04268,-
iolC_1,NDLJOBPC_04270,+
xynR,NDLJOBPC_04271,+
group_3046,NDLJOBPC_04273,+
mntH,NDLJOBPC_04290,+
cmoM_1,NDLJOBPC_04291,+
chiD,NDLJOBPC_04293,-
group_3053,NDLJOBPC_04294,+
group_3054,NDLJOBPC_04297,+
group_3055,NDLJOBPC_04301,+
degU_6,NDLJOBPC_04302,+
group_3058,NDLJOBPC_04309,+
group_3059,NDLJOBPC_04313,+
aguA,NDLJOBPC_01546,-
gpr,NDLJOBPC_04314,-
group_3061,NDLJOBPC_04318,+
group_3062,NDLJOBPC_04322,-
yknY_4,NDLJOBPC_04323,-
group_3064,NDLJOBPC_04330,-
group_3065,NDLJOBPC_04331,-
pknD_10,NDLJOBPC_04337,+
group_3068,NDLJOBPC_04338,+
group_3069,NDLJOBPC_04341,+
xseB,NDLJOBPC_04343,-
puuP,NDLJOBPC_04345,-
group_3072,NDLJOBPC_04348,-
purD_2,NDLJOBPC_04359,-
group_3075,NDLJOBPC_04360,+
gpm2,NDLJOBPC_04362,+
group_3077,NDLJOBPC_04364,+
speE_2,NDLJOBPC_04365,+
group_3079,NDLJOBPC_04372,-
group_308,NDLJOBPC_01555,-
lacG_2,NDLJOBPC_04373,-
araP,NDLJOBPC_04374,-
group_3082,NDLJOBPC_04375,-
group_3083,NDLJOBPC_04378,+
group_3085,NDLJOBPC_04388,-
iucD_1,NDLJOBPC_04391,-
ddc_1,NDLJOBPC_04392,-
viuB_2,NDLJOBPC_04393,-
group_3089,NDLJOBPC_04397,+
group_3090,NDLJOBPC_04398,+
mce3R,NDLJOBPC_04410,+
fieF,NDLJOBPC_04415,+
group_3099,NDLJOBPC_04419,-
group_31,NDLJOBPC_02067,+
group_310,NDLJOBPC_01561,+
opuE,NDLJOBPC_04420,+
gbh,NDLJOBPC_04421,+
ilvB,NDLJOBPC_04422,+
group_3103,NDLJOBPC_04423,+
ptp,NDLJOBPC_04425,+
group_3105,NDLJOBPC_04431,+
iolE,NDLJOBPC_04433,-
iolC_2,NDLJOBPC_04434,+
group_3108,NDLJOBPC_04435,+
iolB,NDLJOBPC_04436,+
iolD,NDLJOBPC_04437,+
group_3112,NDLJOBPC_04445,-
group_3113,NDLJOBPC_04447,-
group_3114,NDLJOBPC_04450,+
group_3115,NDLJOBPC_04461,-
group_3116,NDLJOBPC_04465,-
group_3117,NDLJOBPC_04466,+
group_3118,NDLJOBPC_04469,+
group_312,NDLJOBPC_01622,+
group_3120,NDLJOBPC_04473,+
ettA_3,NDLJOBPC_04474,+
group_3122,NDLJOBPC_04479,-
iolS_2,NDLJOBPC_04481,+
pcm_4,NDLJOBPC_04482,+
group_3125,NDLJOBPC_04484,-
group_3126,NDLJOBPC_04487,-
group_3127,NDLJOBPC_04488,-
group_3128,NDLJOBPC_04489,-
licH_1,NDLJOBPC_04494,-
group_313,NDLJOBPC_01644,-
group_3130,NDLJOBPC_04495,-
group_3131,NDLJOBPC_04496,-
group_3132,NDLJOBPC_04497,+
group_3133,NDLJOBPC_04498,+
group_3134,NDLJOBPC_04507,+
group_3135,NDLJOBPC_04514,+
pepN_2,NDLJOBPC_04516,-
group_3137,NDLJOBPC_04517,+
gabP_3,NDLJOBPC_04523,-
nei1,NDLJOBPC_04525,+
group_314,NDLJOBPC_01772,-
group_3141,NDLJOBPC_04527,+
group_3143,NDLJOBPC_04537,-
folC,NDLJOBPC_04539,+
mreB_1,NDLJOBPC_04542,+
group_3146,NDLJOBPC_04547,+
group_3147,NDLJOBPC_04556,-
group_3148,NDLJOBPC_04557,-
htpX_3,NDLJOBPC_04565,-
group_3150,NDLJOBPC_04566,+
group_3151,NDLJOBPC_04573,+
group_3152,NDLJOBPC_04578,+
degV,NDLJOBPC_04579,+
yceI_2,NDLJOBPC_04583,+
group_3156,NDLJOBPC_04584,+
hemW,NDLJOBPC_04589,+
group_3158,NDLJOBPC_04591,-
group_3159,NDLJOBPC_04592,-
group_316,NDLJOBPC_01777,-
rsmE,NDLJOBPC_04596,+
group_3161,NDLJOBPC_04598,+
rnz,NDLJOBPC_04599,+
group_3163,NDLJOBPC_04600,-
group_3164,NDLJOBPC_04601,+
oleD,NDLJOBPC_04605,+
group_3166,NDLJOBPC_04606,-
group_3167,NDLJOBPC_04607,+
group_3168,NDLJOBPC_04608,-
licH_2,NDLJOBPC_04609,-
group_317,NDLJOBPC_01778,-
group_3170,NDLJOBPC_04611,+
group_3171,NDLJOBPC_04613,+
yjbR,NDLJOBPC_04616,+
group_3173,NDLJOBPC_04617,+
group_3174,NDLJOBPC_04619,-
prtS,NDLJOBPC_04620,-
group_3176,NDLJOBPC_04622,+
group_3177,NDLJOBPC_04625,+
zur,NDLJOBPC_04626,-
btuD_21,NDLJOBPC_04628,-
nhaK_1,NDLJOBPC_01808,-
znuA,NDLJOBPC_04629,-
group_3181,NDLJOBPC_04633,+
group_3182,NDLJOBPC_04635,+
group_3183,NDLJOBPC_04636,+
group_3184,NDLJOBPC_04642,+
group_3185,NDLJOBPC_04652,+
group_3186,NDLJOBPC_04657,-
cutA,NDLJOBPC_04663,+
ureD_1,NDLJOBPC_04665,-
ureG_1,NDLJOBPC_04666,-
ureF_1,NDLJOBPC_04667,-
ureC_2,NDLJOBPC_04668,-
ureB_1,NDLJOBPC_04669,-
ybjJ_4,NDLJOBPC_04671,-
tam_7,NDLJOBPC_04675,-
group_3196,NDLJOBPC_04682,+
group_3197,NDLJOBPC_04686,+
hrdA,NDLJOBPC_04687,-
group_3199,NDLJOBPC_04692,-
yedK,NDLJOBPC_01833,-
dgt,NDLJOBPC_04694,-
group_3201,NDLJOBPC_04695,+
fgd1,NDLJOBPC_04699,+
ligD_2,NDLJOBPC_04700,+
katE,NDLJOBPC_04701,+
group_3206,NDLJOBPC_04702,+
group_3207,NDLJOBPC_04703,-
yghA,NDLJOBPC_04704,-
group_3209,NDLJOBPC_04705,-
group_3210,NDLJOBPC_04706,-
prmC_5,NDLJOBPC_04707,-
group_3213,NDLJOBPC_04709,-
mreB_2,NDLJOBPC_04710,-
entS_5,NDLJOBPC_04711,+
group_3218,NDLJOBPC_04713,-
cysZ,NDLJOBPC_04716,+
ubiB,NDLJOBPC_01858,+
group_3220,NDLJOBPC_04717,-
nagZ_4,NDLJOBPC_04718,+
acpM,NDLJOBPC_04722,-
fabD,NDLJOBPC_04724,-
group_3224,NDLJOBPC_04731,-
group_3225,NDLJOBPC_04734,-
group_3226,NDLJOBPC_04735,-
group_3227,NDLJOBPC_04736,-
group_3228,NDLJOBPC_04737,+
group_3229,NDLJOBPC_04767,+
group_323,NDLJOBPC_01869,+
group_3230,NDLJOBPC_04769,-
group_3231,NDLJOBPC_04771,+
group_3232,NDLJOBPC_04772,+
group_3233,NDLJOBPC_04774,-
group_3234,NDLJOBPC_04776,-
group_3235,NDLJOBPC_04778,-
group_3236,NDLJOBPC_04779,-
group_3237,NDLJOBPC_04780,+
group_3238,NDLJOBPC_04782,-
hxpA,NDLJOBPC_04785,+
group_3240,NDLJOBPC_04786,-
mdtD_4,NDLJOBPC_04787,+
group_3242,NDLJOBPC_04790,+
group_3243,NDLJOBPC_04793,-
group_3244,NDLJOBPC_04795,-
group_3245,NDLJOBPC_04797,-
mshA_3,NDLJOBPC_04798,+
group_3247,NDLJOBPC_04800,+
uctC_2,NDLJOBPC_04805,+
stp_4,NDLJOBPC_04808,+
caeB,NDLJOBPC_01871,+
group_3254,NDLJOBPC_04815,-
group_3255,NDLJOBPC_04817,+
group_3256,NDLJOBPC_04818,+
group_3257,NDLJOBPC_04819,-
eda,NDLJOBPC_04820,-
group_3259,NDLJOBPC_04821,-
mshA_1,NDLJOBPC_01876,-
group_3261,NDLJOBPC_04825,-
group_3262,NDLJOBPC_04826,+
group_3263,NDLJOBPC_04827,+
yodB,NDLJOBPC_04828,+
acg,NDLJOBPC_04829,+
group_3266,NDLJOBPC_04830,+
acsA_3,NDLJOBPC_04831,-
group_3268,NDLJOBPC_04834,-
hcaB_3,NDLJOBPC_04835,-
degP,NDLJOBPC_01901,-
group_3270,NDLJOBPC_04841,+
group_3271,NDLJOBPC_04844,+
group_3272,NDLJOBPC_04845,-
hmuV,NDLJOBPC_04846,-
btuC_3,NDLJOBPC_04847,-
btuF_3,NDLJOBPC_04848,-
group_3276,NDLJOBPC_04849,+
group_3277,NDLJOBPC_04851,+
group_3278,NDLJOBPC_04856,+
rip2,NDLJOBPC_04857,-
group_328,NDLJOBPC_01950,-
mmcO,NDLJOBPC_04862,-
group_3281,NDLJOBPC_04864,-
group_3282,NDLJOBPC_04865,-
nfdA_1,NDLJOBPC_04877,+
group_3284,NDLJOBPC_04878,-
dasA_3,NDLJOBPC_04881,+
cytR_4,NDLJOBPC_04885,+
aml,NDLJOBPC_04886,+
pulA,NDLJOBPC_04887,+
group_329,NDLJOBPC_02002,+
ophA1,NDLJOBPC_04891,-
group_3293,NDLJOBPC_04892,-
group_3294,NDLJOBPC_04893,-
group_3295,NDLJOBPC_04894,-
group_3296,NDLJOBPC_04896,-
group_3297,NDLJOBPC_04897,+
yfgD,NDLJOBPC_04898,-
mutA,NDLJOBPC_04903,-
group_33,NDLJOBPC_02793,+
group_330,NDLJOBPC_02005,+
cobK,NDLJOBPC_04908,-
ywiE,NDLJOBPC_04912,-
ppk2B,NDLJOBPC_04913,+
group_3303,NDLJOBPC_04916,+
lipA,NDLJOBPC_04924,-
group_3305,NDLJOBPC_04928,+
group_3306,NDLJOBPC_04929,+
group_3307,NDLJOBPC_04930,+
pldh-t,NDLJOBPC_04932,+
group_3309,NDLJOBPC_04933,-
btuD_10,NDLJOBPC_02056,-
pepA,NDLJOBPC_04939,-
group_3311,NDLJOBPC_04941,+
cobT_1,NDLJOBPC_04942,-
group_3313,NDLJOBPC_04943,+
group_3314,NDLJOBPC_04944,-
cmoM_2,NDLJOBPC_04946,-
group_3316,NDLJOBPC_04949,+
vraR_4,NDLJOBPC_04951,+
swrC,NDLJOBPC_04952,+
group_3319,NDLJOBPC_04955,-
ctaF,NDLJOBPC_04962,+
garK_2,NDLJOBPC_04971,-
group_3322,NDLJOBPC_04972,-
group_3323,NDLJOBPC_04977,-
group_3324,NDLJOBPC_04981,+
group_3325,NDLJOBPC_04986,+
group_3326,NDLJOBPC_04987,+
group_3327,NDLJOBPC_04991,+
group_3328,NDLJOBPC_04992,-
group_3329,NDLJOBPC_04995,+
group_333,NDLJOBPC_02064,-
degU_7,NDLJOBPC_04996,+
ldhA,NDLJOBPC_04997,+
menF_1,NDLJOBPC_04998,-
group_3333,NDLJOBPC_05000,+
yedY1,NDLJOBPC_05002,+
hcnC,NDLJOBPC_05007,-
thcD,NDLJOBPC_05008,+
group_3337,NDLJOBPC_05009,+
thiE,NDLJOBPC_05010,+
group_3339,NDLJOBPC_05012,+
crtNb,NDLJOBPC_05013,-
group_3341,NDLJOBPC_05015,-
group_3342,NDLJOBPC_05020,-
group_3343,NDLJOBPC_05033,+
group_3344,NDLJOBPC_05034,+
ileS,NDLJOBPC_05039,-
group_3346,NDLJOBPC_05045,+
group_3347,NDLJOBPC_05053,-
group_3348,NDLJOBPC_05056,+
group_3349,NDLJOBPC_05057,+
group_335,NDLJOBPC_02090,-
priA_1,NDLJOBPC_05067,+
group_3351,NDLJOBPC_05070,-
hisI,NDLJOBPC_05072,+
group_3353,NDLJOBPC_05073,-
group_3354,NDLJOBPC_05076,+
group_3355,NDLJOBPC_05077,+
group_3356,NDLJOBPC_05081,+
lgt,NDLJOBPC_05082,+
mcl2,NDLJOBPC_05083,-
rbsK_2,NDLJOBPC_05085,-
group_3360,NDLJOBPC_05086,-
group_3361,NDLJOBPC_05087,-
group_3362,NDLJOBPC_05088,-
group_3363,NDLJOBPC_05089,-
group_3364,NDLJOBPC_05090,+
group_3365,NDLJOBPC_05093,-
group_3366,NDLJOBPC_05096,-
group_3367,NDLJOBPC_05098,-
group_3369,NDLJOBPC_05100,+
iucD_2,NDLJOBPC_05102,+
cpdB,NDLJOBPC_05103,-
group_3372,NDLJOBPC_05105,-
group_3373,NDLJOBPC_05117,+
hrpB,NDLJOBPC_05118,-
group_3375,NDLJOBPC_05121,-
coaE,NDLJOBPC_05123,+
group_3377,NDLJOBPC_05124,+
group_3379,NDLJOBPC_05127,+
ydaF_1,NDLJOBPC_02134,+
group_3380,NDLJOBPC_05128,-
group_3381,NDLJOBPC_05130,-
group_3382,NDLJOBPC_05134,-
group_3383,NDLJOBPC_05135,+
group_3384,NDLJOBPC_05136,+
rfnT,NDLJOBPC_05137,-
ogt_3,NDLJOBPC_05138,-
glpQ_2,NDLJOBPC_05139,-
uvrB,NDLJOBPC_05141,+
aroQ,NDLJOBPC_05145,+
group_339,NDLJOBPC_02144,+
gloC,NDLJOBPC_05146,-
group_3391,NDLJOBPC_05149,+
group_3392,NDLJOBPC_05150,+
group_3393,NDLJOBPC_05168,+
ctaA,NDLJOBPC_05169,-
group_3395,NDLJOBPC_05170,-
group_3396,NDLJOBPC_05172,+
group_3397,NDLJOBPC_05181,-
group_3398,NDLJOBPC_05182,+
group_3399,NDLJOBPC_05184,-
group_34,NDLJOBPC_02984,-
degU_8,NDLJOBPC_05187,-
group_3401,NDLJOBPC_05188,-
group_3402,NDLJOBPC_05189,-
aldH,NDLJOBPC_05190,+
nicR,NDLJOBPC_05193,-
nemA,NDLJOBPC_05194,+
group_3406,NDLJOBPC_05201,+
group_3407,NDLJOBPC_05202,+
group_3408,NDLJOBPC_05203,-
group_3409,NDLJOBPC_05204,-
group_341,NDLJOBPC_02166,-
cobB_3,NDLJOBPC_05205,-
group_3411,NDLJOBPC_05207,-
cobQ,NDLJOBPC_05208,-
cobD,NDLJOBPC_05209,-
group_3414,NDLJOBPC_05210,-
drdA,NDLJOBPC_05212,+
group_3416,NDLJOBPC_05213,+
group_3418,NDLJOBPC_05215,-
group_3419,NDLJOBPC_05220,+
group_342,NDLJOBPC_02174,-
group_3420,NDLJOBPC_05223,+
group_3421,NDLJOBPC_05226,-
group_3422,NDLJOBPC_05228,+
group_3423,NDLJOBPC_05229,+
group_3424,NDLJOBPC_05230,-
frc,NDLJOBPC_05231,-
group_3426,NDLJOBPC_05232,-
hutI_2,NDLJOBPC_05238,-
group_3428,NDLJOBPC_05240,-
group_3429,NDLJOBPC_05241,+
group_3430,NDLJOBPC_05245,+
yycB,NDLJOBPC_05247,+
group_3432,NDLJOBPC_05249,+
ydaD_2,NDLJOBPC_05255,-
group_3434,NDLJOBPC_05261,+
group_3435,NDLJOBPC_05266,+
group_3436,NDLJOBPC_05271,+
group_3437,NDLJOBPC_05272,-
group_3438,NDLJOBPC_05273,+
group_3439,NDLJOBPC_05274,-
phrB_2,NDLJOBPC_02182,+
ppnK,NDLJOBPC_05277,+
group_3441,NDLJOBPC_05280,+
kanE,NDLJOBPC_05281,+
pucR,NDLJOBPC_05283,-
group_3444,NDLJOBPC_05286,+
