Gene,albidoflavus_J1074,Sign
group_2687,CDKDDEHB_03115,+
group_2688,CDKDDEHB_03117,-
group_2689,CDKDDEHB_03120,-
aes,CDKDDEHB_03121,+
group_2691,CDKDDEHB_03129,+
group_2692,CDKDDEHB_03138,-
group_2693,CDKDDEHB_03139,+
group_2694,CDKDDEHB_03147,-
group_2695,CDKDDEHB_03150,-
group_2696,CDKDDEHB_03151,-
yfiZ_3,CDKDDEHB_03152,+
yfhA_4,CDKDDEHB_03153,+
yfmC,CDKDDEHB_03157,+
group_27,CDKDDEHB_02588,+
btuF_1,CDKDDEHB_00690,+
group_2700,CDKDDEHB_03158,+
group_2702,CDKDDEHB_03162,-
btuD_17,CDKDDEHB_03163,-
group_2704,CDKDDEHB_03167,+
group_2705,CDKDDEHB_03168,-
group_2706,CDKDDEHB_03170,-
group_2707,CDKDDEHB_03175,-
abaF_3,CDKDDEHB_03179,-
group_2709,CDKDDEHB_03184,+
group_2710,CDKDDEHB_03193,+
group_2711,CDKDDEHB_03194,+
malY,CDKDDEHB_03197,+
kynU_1,CDKDDEHB_03202,+
group_2714,CDKDDEHB_03203,+
group_2715,CDKDDEHB_03205,+
group_2716,CDKDDEHB_03207,+
group_2717,CDKDDEHB_03208,-
menH_3,CDKDDEHB_03218,-
group_2720,CDKDDEHB_03225,-
group_2721,CDKDDEHB_03229,-
group_2722,CDKDDEHB_03234,+
group_2723,CDKDDEHB_03239,+
group_2724,CDKDDEHB_03240,+
comR_2,CDKDDEHB_03241,+
linC_2,CDKDDEHB_03242,+
group_2727,CDKDDEHB_03244,-
group_2728,CDKDDEHB_03248,-
pstS3,CDKDDEHB_03250,-
group_273,CDKDDEHB_00708,+
mutT1,CDKDDEHB_03251,-
group_2731,CDKDDEHB_03252,+
group_2732,CDKDDEHB_03260,-
group_2733,CDKDDEHB_03261,-
group_2734,CDKDDEHB_03262,+
group_2735,CDKDDEHB_03264,+
group_2736,CDKDDEHB_03265,-
menH_4,CDKDDEHB_03266,+
group_2738,CDKDDEHB_03267,-
group_2739,CDKDDEHB_03268,-
noxE,CDKDDEHB_00760,+
group_2740,CDKDDEHB_03270,+
sigE_3,CDKDDEHB_03277,+
group_2743,CDKDDEHB_03279,-
COQ5_4,CDKDDEHB_03280,+
neo,CDKDDEHB_03281,-
oleB,CDKDDEHB_03288,+
hchA,CDKDDEHB_03290,+
group_2749,CDKDDEHB_03291,-
group_2750,CDKDDEHB_03294,-
group_2751,CDKDDEHB_03296,-
group_2752,CDKDDEHB_03297,-
group_2753,CDKDDEHB_03299,-
group_2754,CDKDDEHB_03300,-
group_2755,CDKDDEHB_03301,-
group_2756,CDKDDEHB_03309,-
group_2757,CDKDDEHB_03310,+
mshD_3,CDKDDEHB_03311,-
yhcR,CDKDDEHB_03312,+
group_276,CDKDDEHB_00780,+
araA,CDKDDEHB_03314,-
sbpA,CDKDDEHB_03317,+
xylG,CDKDDEHB_03318,+
group_2763,CDKDDEHB_03320,+
mprB,CDKDDEHB_03321,-
mprA_2,CDKDDEHB_03322,-
group_2766,CDKDDEHB_03323,-
group_2767,CDKDDEHB_03327,+
group_2768,CDKDDEHB_03329,+
group_2769,CDKDDEHB_03333,-
group_277,CDKDDEHB_00783,+
group_2770,CDKDDEHB_03338,+
dtd,CDKDDEHB_03341,-
group_2772,CDKDDEHB_03343,+
group_2773,CDKDDEHB_03344,-
drrB_2,CDKDDEHB_03352,-
ehpR,CDKDDEHB_03358,+
group_2777,CDKDDEHB_03359,-
rox,CDKDDEHB_03360,+
group_2779,CDKDDEHB_03361,-
COQ3_3,CDKDDEHB_03362,+
group_2781,CDKDDEHB_03365,-
group_2783,CDKDDEHB_03377,+
group_2784,CDKDDEHB_03378,+
group_2785,CDKDDEHB_03379,+
group_2786,CDKDDEHB_03380,-
group_2787,CDKDDEHB_03381,-
group_2788,CDKDDEHB_03382,-
group_2790,CDKDDEHB_03386,+
group_2791,CDKDDEHB_03394,+
ydjE_2,CDKDDEHB_03395,-
pmdD,CDKDDEHB_03396,-
ligJ,CDKDDEHB_03398,-
galD,CDKDDEHB_03399,-
group_2796,CDKDDEHB_03401,-
group_2797,CDKDDEHB_03403,-
group_2798,CDKDDEHB_03404,-
group_2799,CDKDDEHB_03406,+
group_28,CDKDDEHB_03347,-
group_2800,CDKDDEHB_03407,-
group_2801,CDKDDEHB_03408,+
group_2802,CDKDDEHB_03416,-
group_2803,CDKDDEHB_03418,-
group_2804,CDKDDEHB_03419,+
yfmT,CDKDDEHB_03420,+
group_2806,CDKDDEHB_03421,+
group_2807,CDKDDEHB_03422,+
group_2808,CDKDDEHB_03425,+
group_2809,CDKDDEHB_03426,-
group_281,CDKDDEHB_00800,-
group_2810,CDKDDEHB_03428,+
group_2811,CDKDDEHB_03429,+
group_2812,CDKDDEHB_03435,-
group_2813,CDKDDEHB_03441,+
opuBC,CDKDDEHB_03442,+
group_2815,CDKDDEHB_03443,+
group_2817,CDKDDEHB_03453,-
ytrA_4,CDKDDEHB_03454,-
group_2819,CDKDDEHB_03455,+
group_2820,CDKDDEHB_03458,-
sucD_1,CDKDDEHB_03460,-
group_2822,CDKDDEHB_03462,+
group_2823,CDKDDEHB_03464,+
group_2824,CDKDDEHB_03466,-
group_2825,CDKDDEHB_03468,-
group_2826,CDKDDEHB_03470,-
group_2827,CDKDDEHB_03471,+
liaR_7,CDKDDEHB_03472,+
group_2829,CDKDDEHB_03474,+
phoD_1,CDKDDEHB_00875,+
panC,CDKDDEHB_03475,+
mutY,CDKDDEHB_03491,-
group_2832,CDKDDEHB_03493,+
group_2833,CDKDDEHB_03496,-
group_2834,CDKDDEHB_03500,-
group_2835,CDKDDEHB_03502,+
betI_8,CDKDDEHB_03504,+
group_2837,CDKDDEHB_03507,+
group_2838,CDKDDEHB_03508,+
group_2839,CDKDDEHB_03512,+
trpS_1,CDKDDEHB_03514,-
yieH_1,CDKDDEHB_03518,+
group_2842,CDKDDEHB_03524,+
group_2843,CDKDDEHB_03530,+
hemB,CDKDDEHB_03535,+
lysN,CDKDDEHB_03539,+
group_2846,CDKDDEHB_03543,+
group_2847,CDKDDEHB_03544,-
group_2848,CDKDDEHB_03545,-
dauA_2,CDKDDEHB_03547,+
group_2851,CDKDDEHB_03552,+
group_2852,CDKDDEHB_03555,-
group_2853,CDKDDEHB_03558,+
group_2854,CDKDDEHB_03560,+
ccs1,CDKDDEHB_03561,+
ccsA,CDKDDEHB_03562,+
group_2857,CDKDDEHB_03564,-
group_2858,CDKDDEHB_03568,-
group_2859,CDKDDEHB_03571,+
group_2860,CDKDDEHB_03575,-
group_2862,CDKDDEHB_03581,-
hcaB_2,CDKDDEHB_03582,-
fadI,CDKDDEHB_03583,+
mqnA,CDKDDEHB_03586,+
group_2871,CDKDDEHB_03599,-
group_2874,CDKDDEHB_03616,+
group_2875,CDKDDEHB_03617,+
group_2876,CDKDDEHB_03622,+
group_2877,CDKDDEHB_03644,-
group_2878,CDKDDEHB_03645,+
group_2879,CDKDDEHB_03646,-
group_2880,CDKDDEHB_03648,-
group_2881,CDKDDEHB_03649,+
group_2882,CDKDDEHB_03651,-
group_2883,CDKDDEHB_03665,-
group_2884,CDKDDEHB_03666,+
group_2885,CDKDDEHB_03667,-
rarD,CDKDDEHB_03668,-
qorB_2,CDKDDEHB_03669,-
group_2888,CDKDDEHB_03674,-
group_2889,CDKDDEHB_03675,-
ptsH_2,CDKDDEHB_01024,+
nuoJ,CDKDDEHB_03681,+
ndhE,CDKDDEHB_03682,+
ndhB_2,CDKDDEHB_03683,+
ndhB_3,CDKDDEHB_03685,+
murB,CDKDDEHB_03699,+
group_2895,CDKDDEHB_03700,-
group_2896,CDKDDEHB_03701,-
group_2897,CDKDDEHB_03708,+
group_2898,CDKDDEHB_03714,-
group_2899,CDKDDEHB_03723,+
group_290,CDKDDEHB_01089,+
panD,CDKDDEHB_03725,+
group_2901,CDKDDEHB_03726,-
rplD,CDKDDEHB_03729,+
rplV,CDKDDEHB_03733,+
truA,CDKDDEHB_03757,+
acpS,CDKDDEHB_03771,+
group_2908,CDKDDEHB_03773,-
group_2909,CDKDDEHB_03774,-
group_291,CDKDDEHB_01095,+
alr,CDKDDEHB_03783,+
rutD_2,CDKDDEHB_03784,+
group_2915,CDKDDEHB_03785,+
group_2916,CDKDDEHB_03786,+
group_2917,CDKDDEHB_03787,-
group_2918,CDKDDEHB_03791,+
hrp1,CDKDDEHB_03792,+
group_292,CDKDDEHB_01134,+
group_2920,CDKDDEHB_03793,-
group_2921,CDKDDEHB_03794,-
group_2922,CDKDDEHB_03796,-
group_2923,CDKDDEHB_03797,+
group_2924,CDKDDEHB_03809,+
group_2926,CDKDDEHB_03812,+
choD,CDKDDEHB_03817,+
group_2929,CDKDDEHB_03818,-
group_293,CDKDDEHB_01140,+
group_2930,CDKDDEHB_03821,+
group_2931,CDKDDEHB_03823,+
group_2933,CDKDDEHB_03827,-
group_2934,CDKDDEHB_03828,-
nreC_3,CDKDDEHB_03830,+
bamB_2,CDKDDEHB_03834,-
nlhH_2,CDKDDEHB_03837,+
group_2938,CDKDDEHB_03839,-
group_2939,CDKDDEHB_03840,-
comM,CDKDDEHB_01205,-
group_2940,CDKDDEHB_03841,+
group_2941,CDKDDEHB_03842,-
group_2942,CDKDDEHB_03844,+
group_2943,CDKDDEHB_03845,+
group_2946,CDKDDEHB_03850,-
yyaP_2,CDKDDEHB_03853,-
group_2948,CDKDDEHB_03855,-
group_2949,CDKDDEHB_03859,-
yehL,CDKDDEHB_03860,+
group_2951,CDKDDEHB_03862,+
group_2952,CDKDDEHB_03865,-
group_2953,CDKDDEHB_03873,+
group_2954,CDKDDEHB_03875,+
group_2955,CDKDDEHB_03877,-
group_2956,CDKDDEHB_03878,-
opuAA_1,CDKDDEHB_03882,+
group_2958,CDKDDEHB_03883,+
group_2959,CDKDDEHB_03884,+
group_296,CDKDDEHB_01273,+
group_2960,CDKDDEHB_03885,+
group_2961,CDKDDEHB_03886,-
bglA_2,CDKDDEHB_03887,-
lacF_2,CDKDDEHB_03889,-
mdxE,CDKDDEHB_03890,-
cah,CDKDDEHB_03891,+
group_2966,CDKDDEHB_03892,+
dppA_4,CDKDDEHB_03893,-
group_2968,CDKDDEHB_03895,+
group_2969,CDKDDEHB_03898,+
group_2970,CDKDDEHB_03900,+
rocD,CDKDDEHB_03901,-
group_2972,CDKDDEHB_03905,-
group_2973,CDKDDEHB_03907,-
trpS_2,CDKDDEHB_03909,+
group_2975,CDKDDEHB_03911,+
ghrA_2,CDKDDEHB_03913,+
dprE1,CDKDDEHB_03917,-
yhjD,CDKDDEHB_03918,+
group_298,CDKDDEHB_01276,+
group_2980,CDKDDEHB_03919,-
group_2981,CDKDDEHB_03920,+
group_2982,CDKDDEHB_03921,+
group_2985,CDKDDEHB_03930,-
group_2986,CDKDDEHB_03936,-
group_2987,CDKDDEHB_03937,+
group_2988,CDKDDEHB_03939,+
group_2989,CDKDDEHB_03940,-
group_299,CDKDDEHB_01505,-
group_2990,CDKDDEHB_03941,-
group_2991,CDKDDEHB_03942,-
group_2992,CDKDDEHB_03954,-
group_2993,CDKDDEHB_03957,-
group_2995,CDKDDEHB_03959,+
scmP,CDKDDEHB_03963,+
group_2998,CDKDDEHB_03965,-
group_300,CDKDDEHB_01283,+
group_3000,CDKDDEHB_03968,+
group_3001,CDKDDEHB_03969,+
group_3002,CDKDDEHB_03970,+
group_3003,CDKDDEHB_03971,+
mglA_2,CDKDDEHB_03974,+
group_3006,CDKDDEHB_03982,+
ynfM,CDKDDEHB_03984,-
group_3008,CDKDDEHB_03991,+
group_3010,CDKDDEHB_03997,+
group_3011,CDKDDEHB_04005,+
group_3012,CDKDDEHB_04010,+
group_3013,CDKDDEHB_04016,-
group_3015,CDKDDEHB_04018,-
group_3016,CDKDDEHB_04020,+
group_3017,CDKDDEHB_04022,-
group_3018,CDKDDEHB_04023,-
birA,CDKDDEHB_04025,+
mviN,CDKDDEHB_01285,+
group_3020,CDKDDEHB_04030,-
group_3021,CDKDDEHB_04032,+
yknY_3,CDKDDEHB_04033,+
group_3023,CDKDDEHB_04035,-
group_3024,CDKDDEHB_04036,-
metB,CDKDDEHB_04037,+
group_3026,CDKDDEHB_04038,-
group_3027,CDKDDEHB_04039,-
group_3028,CDKDDEHB_04040,-
group_3029,CDKDDEHB_04045,-
mca_1,CDKDDEHB_04046,+
group_3031,CDKDDEHB_04047,+
group_3032,CDKDDEHB_04049,-
group_3033,CDKDDEHB_04050,+
group_3034,CDKDDEHB_04051,-
msrP_1,CDKDDEHB_04053,+
nagAa,CDKDDEHB_04054,+
group_3037,CDKDDEHB_04060,+
group_3038,CDKDDEHB_04061,-
aspC,CDKDDEHB_04064,-
inhA_1,CDKDDEHB_04065,+
alpha-LP_1,CDKDDEHB_04066,+
group_3042,CDKDDEHB_04067,+
dag,CDKDDEHB_04068,-
iolC_1,CDKDDEHB_04070,+
xynR,CDKDDEHB_04071,+
group_3046,CDKDDEHB_04073,+
mntH,CDKDDEHB_04090,+
cmoM_1,CDKDDEHB_04091,+
chiD,CDKDDEHB_04093,-
group_3053,CDKDDEHB_04094,+
group_3054,CDKDDEHB_04097,+
group_3055,CDKDDEHB_04101,+
degU_6,CDKDDEHB_04102,+
group_3058,CDKDDEHB_04109,+
group_3059,CDKDDEHB_04113,+
aguA,CDKDDEHB_01301,-
gpr,CDKDDEHB_04114,-
group_3061,CDKDDEHB_04118,+
group_3062,CDKDDEHB_04122,-
yknY_4,CDKDDEHB_04123,-
group_3064,CDKDDEHB_04130,-
group_3065,CDKDDEHB_04131,-
pknD_10,CDKDDEHB_04136,+
group_3068,CDKDDEHB_04137,+
group_3069,CDKDDEHB_04140,+
xseB,CDKDDEHB_04142,-
puuP,CDKDDEHB_04144,-
group_3072,CDKDDEHB_04147,-
purD_2,CDKDDEHB_04158,-
group_3075,CDKDDEHB_04159,+
gpm2,CDKDDEHB_04161,+
group_3077,CDKDDEHB_04163,+
speE_2,CDKDDEHB_04164,+
group_3079,CDKDDEHB_04170,-
group_308,CDKDDEHB_01310,-
lacG_2,CDKDDEHB_04171,-
araP,CDKDDEHB_04172,-
group_3082,CDKDDEHB_04173,-
group_3083,CDKDDEHB_04176,+
group_3085,CDKDDEHB_04186,-
iucD_1,CDKDDEHB_04189,-
ddc_1,CDKDDEHB_04190,-
viuB_2,CDKDDEHB_04191,-
group_3089,CDKDDEHB_04195,+
group_3090,CDKDDEHB_04196,+
mce3R,CDKDDEHB_04214,+
fieF,CDKDDEHB_04219,+
group_3099,CDKDDEHB_04223,-
group_31,CDKDDEHB_01828,+
group_310,CDKDDEHB_01316,+
opuE,CDKDDEHB_04224,+
gbh,CDKDDEHB_04225,+
ilvB,CDKDDEHB_04226,+
group_3103,CDKDDEHB_04227,+
ptp,CDKDDEHB_04229,+
group_3105,CDKDDEHB_04235,+
iolE,CDKDDEHB_04237,-
iolC_2,CDKDDEHB_04238,+
group_3108,CDKDDEHB_04239,+
iolB,CDKDDEHB_04240,+
iolD,CDKDDEHB_04241,+
group_3112,CDKDDEHB_04249,-
group_3113,CDKDDEHB_04252,-
group_3114,CDKDDEHB_04255,+
group_3115,CDKDDEHB_04256,-
group_3116,CDKDDEHB_04260,-
group_3117,CDKDDEHB_04261,+
group_3118,CDKDDEHB_04264,+
group_312,CDKDDEHB_01377,+
group_3120,CDKDDEHB_04268,+
ettA_3,CDKDDEHB_04269,+
group_3122,CDKDDEHB_04274,-
iolS_2,CDKDDEHB_04276,+
pcm_4,CDKDDEHB_04277,+
group_3125,CDKDDEHB_04279,-
group_3126,CDKDDEHB_04282,-
group_3127,CDKDDEHB_04283,-
group_3128,CDKDDEHB_04284,-
licH_1,CDKDDEHB_04288,-
group_313,CDKDDEHB_01399,-
group_3130,CDKDDEHB_04289,-
group_3131,CDKDDEHB_04290,-
group_3132,CDKDDEHB_04291,+
group_3133,CDKDDEHB_04292,+
group_3134,CDKDDEHB_04299,+
group_3135,CDKDDEHB_04306,+
pepN_2,CDKDDEHB_04308,-
group_3137,CDKDDEHB_04309,+
gabP_3,CDKDDEHB_04315,-
nei1,CDKDDEHB_04317,+
group_314,CDKDDEHB_01527,-
group_3141,CDKDDEHB_04319,+
group_3143,CDKDDEHB_04329,-
folC,CDKDDEHB_04331,+
mreB_1,CDKDDEHB_04334,+
group_3146,CDKDDEHB_04339,+
group_3147,CDKDDEHB_04347,-
group_3148,CDKDDEHB_04348,-
htpX_3,CDKDDEHB_04355,-
group_3150,CDKDDEHB_04356,+
group_3151,CDKDDEHB_04363,+
group_3152,CDKDDEHB_04368,+
degV,CDKDDEHB_04369,+
yceI_2,CDKDDEHB_04374,+
group_3156,CDKDDEHB_04375,+
hemW,CDKDDEHB_04380,+
group_3158,CDKDDEHB_04382,-
group_3159,CDKDDEHB_04383,-
group_316,CDKDDEHB_01532,-
rsmE,CDKDDEHB_04387,+
group_3161,CDKDDEHB_04389,+
rnz,CDKDDEHB_04390,+
group_3163,CDKDDEHB_04391,-
group_3164,CDKDDEHB_04392,+
oleD,CDKDDEHB_04396,+
group_3166,CDKDDEHB_04397,-
group_3167,CDKDDEHB_04398,+
group_3168,CDKDDEHB_04399,-
licH_2,CDKDDEHB_04400,-
group_317,CDKDDEHB_01533,-
group_3170,CDKDDEHB_04402,+
group_3171,CDKDDEHB_04404,+
yjbR,CDKDDEHB_04407,+
group_3173,CDKDDEHB_04408,+
group_3174,CDKDDEHB_04410,-
prtS,CDKDDEHB_04411,-
group_3176,CDKDDEHB_04413,+
group_3177,CDKDDEHB_04416,+
zur,CDKDDEHB_04417,-
btuD_21,CDKDDEHB_04419,-
nhaK_1,CDKDDEHB_01562,-
znuA,CDKDDEHB_04420,-
group_3181,CDKDDEHB_04424,+
group_3182,CDKDDEHB_04426,+
group_3183,CDKDDEHB_04427,+
group_3184,CDKDDEHB_04433,+
group_3185,CDKDDEHB_04443,+
group_3186,CDKDDEHB_04448,-
cutA,CDKDDEHB_04454,+
ureD_1,CDKDDEHB_04456,-
ureG_1,CDKDDEHB_04457,-
ureF_1,CDKDDEHB_04458,-
ureC_2,CDKDDEHB_04459,-
ureB_1,CDKDDEHB_04460,-
ybjJ_4,CDKDDEHB_04462,-
tam_7,CDKDDEHB_04466,-
group_3196,CDKDDEHB_04473,+
group_3197,CDKDDEHB_04477,+
hrdA,CDKDDEHB_04478,-
group_3199,CDKDDEHB_04483,-
yedK,CDKDDEHB_01588,-
dgt,CDKDDEHB_04485,-
group_3201,CDKDDEHB_04486,+
fgd1,CDKDDEHB_04489,+
ligD_2,CDKDDEHB_04490,+
katE,CDKDDEHB_04491,+
group_3206,CDKDDEHB_04492,+
group_3207,CDKDDEHB_04493,-
yghA,CDKDDEHB_04494,-
group_3209,CDKDDEHB_04495,-
group_3210,CDKDDEHB_04496,-
prmC_5,CDKDDEHB_04497,-
group_3213,CDKDDEHB_04499,-
mreB_2,CDKDDEHB_04500,-
entS_5,CDKDDEHB_04501,+
group_3218,CDKDDEHB_04504,-
cysZ,CDKDDEHB_04507,+
ubiB,CDKDDEHB_01613,+
group_3220,CDKDDEHB_04508,-
nagZ_4,CDKDDEHB_04509,+
acpM,CDKDDEHB_04513,-
fabD,CDKDDEHB_04515,-
group_3224,CDKDDEHB_04522,-
group_3225,CDKDDEHB_04525,-
group_3226,CDKDDEHB_04526,-
group_3227,CDKDDEHB_04527,-
group_3228,CDKDDEHB_04528,+
group_3229,CDKDDEHB_04534,+
group_323,CDKDDEHB_01624,+
group_3230,CDKDDEHB_04536,-
group_3231,CDKDDEHB_04538,+
group_3232,CDKDDEHB_04539,+
group_3233,CDKDDEHB_04541,-
group_3234,CDKDDEHB_04543,-
group_3235,CDKDDEHB_04545,-
group_3236,CDKDDEHB_04546,-
group_3237,CDKDDEHB_04547,+
group_3238,CDKDDEHB_04549,-
hxpA,CDKDDEHB_04552,+
group_3240,CDKDDEHB_04553,-
mdtD_4,CDKDDEHB_04554,+
group_3242,CDKDDEHB_04557,+
group_3243,CDKDDEHB_04560,-
group_3244,CDKDDEHB_04562,-
group_3245,CDKDDEHB_04564,-
mshA_3,CDKDDEHB_04565,+
group_3247,CDKDDEHB_04567,+
uctC_2,CDKDDEHB_04572,+
stp_4,CDKDDEHB_04575,+
caeB,CDKDDEHB_01626,+
group_3254,CDKDDEHB_04582,-
group_3255,CDKDDEHB_04584,+
group_3256,CDKDDEHB_04585,+
group_3257,CDKDDEHB_04586,-
eda,CDKDDEHB_04587,-
group_3259,CDKDDEHB_04588,-
mshA_1,CDKDDEHB_01631,-
group_3261,CDKDDEHB_04592,-
group_3262,CDKDDEHB_04593,+
group_3263,CDKDDEHB_04594,+
yodB,CDKDDEHB_04595,+
acg,CDKDDEHB_04596,+
group_3266,CDKDDEHB_04597,+
acsA_3,CDKDDEHB_04598,-
group_3268,CDKDDEHB_04601,-
hcaB_3,CDKDDEHB_04602,-
degP,CDKDDEHB_01656,-
group_3270,CDKDDEHB_04608,+
group_3271,CDKDDEHB_04611,+
group_3272,CDKDDEHB_04612,-
hmuV,CDKDDEHB_04613,-
btuC_3,CDKDDEHB_04614,-
btuF_3,CDKDDEHB_04615,-
group_3276,CDKDDEHB_04616,+
group_3277,CDKDDEHB_04618,+
group_3278,CDKDDEHB_04623,+
rip2,CDKDDEHB_04624,-
group_328,CDKDDEHB_01704,-
mmcO,CDKDDEHB_04629,-
group_3281,CDKDDEHB_04631,-
group_3282,CDKDDEHB_04632,-
nfdA_1,CDKDDEHB_04642,+
group_3284,CDKDDEHB_04643,-
dasA_3,CDKDDEHB_04646,+
cytR_4,CDKDDEHB_04650,+
aml,CDKDDEHB_04651,+
pulA,CDKDDEHB_04652,+
group_329,CDKDDEHB_01756,+
ophA1,CDKDDEHB_04656,-
group_3293,CDKDDEHB_04657,-
group_3294,CDKDDEHB_04658,-
group_3295,CDKDDEHB_04659,-
group_3296,CDKDDEHB_04661,-
group_3297,CDKDDEHB_04662,+
yfgD,CDKDDEHB_04663,-
mutA,CDKDDEHB_04668,-
group_33,CDKDDEHB_02587,+
group_330,CDKDDEHB_01763,+
cobK,CDKDDEHB_04673,-
ywiE,CDKDDEHB_04677,-
ppk2B,CDKDDEHB_04678,+
group_3303,CDKDDEHB_04681,+
lipA,CDKDDEHB_04690,-
group_3305,CDKDDEHB_04694,+
group_3306,CDKDDEHB_04695,+
group_3307,CDKDDEHB_04696,+
pldh-t,CDKDDEHB_04698,+
group_3309,CDKDDEHB_04699,-
btuD_10,CDKDDEHB_01813,-
pepA,CDKDDEHB_04705,-
group_3311,CDKDDEHB_04707,+
cobT_1,CDKDDEHB_04708,-
group_3313,CDKDDEHB_04709,+
group_3314,CDKDDEHB_04710,-
cmoM_2,CDKDDEHB_04712,-
group_3316,CDKDDEHB_04715,+
vraR_4,CDKDDEHB_04717,+
swrC,CDKDDEHB_04718,+
group_3319,CDKDDEHB_04721,-
ctaF,CDKDDEHB_04728,+
garK_2,CDKDDEHB_04737,-
group_3322,CDKDDEHB_04738,-
group_3323,CDKDDEHB_04743,-
group_3324,CDKDDEHB_04747,+
group_3325,CDKDDEHB_04752,+
group_3326,CDKDDEHB_04753,+
group_3327,CDKDDEHB_04757,+
group_3328,CDKDDEHB_04758,-
group_3329,CDKDDEHB_04761,+
group_333,CDKDDEHB_01825,-
degU_7,CDKDDEHB_04762,+
ldhA,CDKDDEHB_04763,+
menF_1,CDKDDEHB_04764,-
group_3333,CDKDDEHB_04766,+
yedY1,CDKDDEHB_04768,+
hcnC,CDKDDEHB_04773,-
thcD,CDKDDEHB_04774,+
group_3337,CDKDDEHB_04775,+
thiE,CDKDDEHB_04776,+
group_3339,CDKDDEHB_04778,+
crtNb,CDKDDEHB_04779,-
group_3341,CDKDDEHB_04781,-
group_3342,CDKDDEHB_04786,-
group_3343,CDKDDEHB_04800,+
group_3344,CDKDDEHB_04801,+
ileS,CDKDDEHB_04805,-
group_3346,CDKDDEHB_04811,+
group_3347,CDKDDEHB_04817,-
group_3348,CDKDDEHB_04820,+
group_3349,CDKDDEHB_04821,+
group_335,CDKDDEHB_01851,-
priA_1,CDKDDEHB_04831,+
group_3351,CDKDDEHB_04834,-
hisI,CDKDDEHB_04836,+
group_3353,CDKDDEHB_04837,-
group_3354,CDKDDEHB_04840,+
group_3355,CDKDDEHB_04841,+
group_3356,CDKDDEHB_04845,+
lgt,CDKDDEHB_04846,+
mcl2,CDKDDEHB_04847,-
rbsK_2,CDKDDEHB_04849,-
group_3360,CDKDDEHB_04850,-
group_3361,CDKDDEHB_04851,-
group_3362,CDKDDEHB_04852,-
group_3363,CDKDDEHB_04853,-
group_3364,CDKDDEHB_04854,+
group_3365,CDKDDEHB_04857,-
group_3366,CDKDDEHB_04860,-
group_3367,CDKDDEHB_04862,-
group_3369,CDKDDEHB_04864,+
iucD_2,CDKDDEHB_04867,+
cpdB,CDKDDEHB_04868,-
group_3372,CDKDDEHB_04870,-
group_3373,CDKDDEHB_04882,+
hrpB,CDKDDEHB_04883,-
group_3375,CDKDDEHB_04886,-
coaE,CDKDDEHB_04888,+
group_3377,CDKDDEHB_04889,+
group_3379,CDKDDEHB_04893,+
ydaF_1,CDKDDEHB_01890,+
group_3380,CDKDDEHB_04894,-
group_3381,CDKDDEHB_04896,-
group_3382,CDKDDEHB_04900,-
group_3383,CDKDDEHB_04901,+
group_3384,CDKDDEHB_04902,+
rfnT,CDKDDEHB_04903,-
ogt_3,CDKDDEHB_04904,-
glpQ_2,CDKDDEHB_04905,-
uvrB,CDKDDEHB_04907,+
aroQ,CDKDDEHB_04911,+
group_339,CDKDDEHB_01900,+
gloC,CDKDDEHB_04912,-
group_3391,CDKDDEHB_04915,+
group_3392,CDKDDEHB_04916,+
group_3393,CDKDDEHB_04934,+
ctaA,CDKDDEHB_04935,-
group_3395,CDKDDEHB_04936,-
group_3396,CDKDDEHB_04938,+
group_3397,CDKDDEHB_04947,-
group_3398,CDKDDEHB_04948,+
group_3399,CDKDDEHB_04950,-
group_34,CDKDDEHB_02793,-
degU_8,CDKDDEHB_04953,-
group_3401,CDKDDEHB_04954,-
group_3402,CDKDDEHB_04955,-
aldH,CDKDDEHB_04956,+
nicR,CDKDDEHB_04959,-
nemA,CDKDDEHB_04960,+
group_3406,CDKDDEHB_04967,+
group_3407,CDKDDEHB_04968,+
group_3408,CDKDDEHB_04969,-
group_3409,CDKDDEHB_04970,-
group_341,CDKDDEHB_01921,-
cobB_3,CDKDDEHB_04971,-
group_3411,CDKDDEHB_04973,-
cobQ,CDKDDEHB_04974,-
cobD,CDKDDEHB_04975,-
group_3414,CDKDDEHB_04976,-
drdA,CDKDDEHB_04978,+
group_3416,CDKDDEHB_04979,+
group_3418,CDKDDEHB_04982,-
group_3419,CDKDDEHB_04987,+
group_342,CDKDDEHB_01929,-
group_3420,CDKDDEHB_04990,+
group_3421,CDKDDEHB_04993,-
group_3422,CDKDDEHB_04995,+
group_3423,CDKDDEHB_04996,+
group_3424,CDKDDEHB_04997,-
frc,CDKDDEHB_04998,-
group_3426,CDKDDEHB_04999,-
hutI_2,CDKDDEHB_05005,-
group_3428,CDKDDEHB_05007,-
group_3429,CDKDDEHB_05008,+
group_3430,CDKDDEHB_05012,+
yycB,CDKDDEHB_05014,+
group_3432,CDKDDEHB_05016,+
ydaD_2,CDKDDEHB_05022,-
group_3434,CDKDDEHB_05028,+
group_3435,CDKDDEHB_05033,+
group_3436,CDKDDEHB_05038,+
group_3437,CDKDDEHB_05039,-
group_3438,CDKDDEHB_05040,+
group_3439,CDKDDEHB_05041,-
phrB_2,CDKDDEHB_01937,+
ppnK,CDKDDEHB_05044,+
group_3441,CDKDDEHB_05047,+
kanE,CDKDDEHB_05048,+
pucR,CDKDDEHB_05050,-
group_3444,CDKDDEHB_05053,+
