Gene,albidoflavus_UYFA156,Sign
group_2768,OKGGMJON_02777,-
group_2769,OKGGMJON_02773,+
group_277,OKGGMJON_00918,+
group_2770,OKGGMJON_02768,-
dtd,OKGGMJON_02765,+
group_2772,OKGGMJON_02763,-
group_2773,OKGGMJON_02762,+
drrB_2,OKGGMJON_02753,+
ehpR,OKGGMJON_02748,-
group_2777,OKGGMJON_02747,+
rox,OKGGMJON_02746,-
group_2779,OKGGMJON_02745,+
COQ3_3,OKGGMJON_02744,-
group_2781,OKGGMJON_02741,+
group_2783,OKGGMJON_02739,-
group_2784,OKGGMJON_02738,-
group_2785,OKGGMJON_02737,-
group_2786,OKGGMJON_02736,+
group_2787,OKGGMJON_02735,+
group_2788,OKGGMJON_02733,+
group_2790,OKGGMJON_02729,-
group_2791,OKGGMJON_03512,+
ydjE_2,OKGGMJON_03513,-
pmdD,OKGGMJON_03514,-
ligJ,OKGGMJON_03516,-
galD,OKGGMJON_03517,-
group_2796,OKGGMJON_03519,-
group_2797,OKGGMJON_03522,-
group_2798,OKGGMJON_03523,-
group_2799,OKGGMJON_03525,+
group_28,OKGGMJON_02759,+
group_2800,OKGGMJON_03526,-
group_2801,OKGGMJON_03527,+
group_2802,OKGGMJON_03533,-
group_2803,OKGGMJON_03535,-
group_2804,OKGGMJON_03536,+
yfmT,OKGGMJON_03537,+
group_2806,OKGGMJON_03538,+
group_2807,OKGGMJON_03539,+
group_2808,OKGGMJON_03542,+
group_2809,OKGGMJON_03543,-
group_281,OKGGMJON_00951,-
group_2810,OKGGMJON_03545,+
group_2811,OKGGMJON_03546,+
group_2812,OKGGMJON_03552,-
group_2813,OKGGMJON_03558,+
opuBC,OKGGMJON_03559,+
group_2815,OKGGMJON_03560,+
group_2817,OKGGMJON_03573,-
ytrA_4,OKGGMJON_03574,-
group_2819,OKGGMJON_03575,+
group_2820,OKGGMJON_03578,-
sucD_1,OKGGMJON_03580,-
group_2822,OKGGMJON_03582,+
group_2823,OKGGMJON_03584,+
group_2824,OKGGMJON_03586,-
group_2825,OKGGMJON_03588,-
group_2826,OKGGMJON_03590,-
group_2827,OKGGMJON_03591,+
liaR_7,OKGGMJON_03592,+
group_2829,OKGGMJON_03594,+
phoD_1,OKGGMJON_01021,+
panC,OKGGMJON_03595,+
mutY,OKGGMJON_03612,-
group_2832,OKGGMJON_03614,+
group_2833,OKGGMJON_03617,-
group_2834,OKGGMJON_03621,-
group_2835,OKGGMJON_03623,+
betI_8,OKGGMJON_03625,+
group_2837,OKGGMJON_03628,+
group_2838,OKGGMJON_03629,+
group_2839,OKGGMJON_03633,+
trpS_1,OKGGMJON_03635,-
yieH_1,OKGGMJON_03639,+
group_2842,OKGGMJON_03645,+
group_2843,OKGGMJON_03652,+
hemB,OKGGMJON_03657,+
lysN,OKGGMJON_03663,+
group_2846,OKGGMJON_03667,+
group_2847,OKGGMJON_03668,-
group_2848,OKGGMJON_03669,-
dauA_2,OKGGMJON_03671,+
group_2851,OKGGMJON_03675,+
group_2852,OKGGMJON_03678,-
group_2853,OKGGMJON_03683,+
group_2854,OKGGMJON_03688,+
ccs1,OKGGMJON_03689,+
ccsA,OKGGMJON_03690,+
group_2857,OKGGMJON_03692,-
group_2858,OKGGMJON_03696,-
group_2859,OKGGMJON_03699,+
group_2860,OKGGMJON_03702,-
group_2862,OKGGMJON_03711,-
hcaB_2,OKGGMJON_03712,-
fadI,OKGGMJON_03713,+
mqnA,OKGGMJON_03717,+
group_2871,OKGGMJON_03736,-
group_2874,OKGGMJON_03746,+
group_2875,OKGGMJON_03747,+
group_2876,OKGGMJON_03750,+
group_2877,OKGGMJON_03774,-
group_2878,OKGGMJON_03775,+
group_2879,OKGGMJON_03776,-
group_2880,OKGGMJON_03778,-
group_2881,OKGGMJON_03779,+
group_2882,OKGGMJON_03780,-
group_2883,OKGGMJON_03784,-
group_2884,OKGGMJON_03785,+
group_2885,OKGGMJON_03786,-
rarD,OKGGMJON_03787,-
qorB_2,OKGGMJON_03788,-
group_2888,OKGGMJON_03794,-
group_2889,OKGGMJON_03795,-
ptsH_2,OKGGMJON_01143,+
nuoJ,OKGGMJON_03800,+
ndhE,OKGGMJON_03801,+
ndhB_2,OKGGMJON_03802,+
ndhB_3,OKGGMJON_03804,+
murB,OKGGMJON_03817,+
group_2895,OKGGMJON_03818,-
group_2896,OKGGMJON_03819,-
group_2897,OKGGMJON_03826,+
group_2898,OKGGMJON_03832,-
group_2899,OKGGMJON_03843,+
group_290,OKGGMJON_01213,+
panD,OKGGMJON_03849,+
group_2901,OKGGMJON_03850,-
rplD,OKGGMJON_03853,+
rplV,OKGGMJON_03857,+
truA,OKGGMJON_03881,+
acpS,OKGGMJON_03892,+
group_2908,OKGGMJON_03895,-
group_2909,OKGGMJON_03896,-
group_291,OKGGMJON_01219,+
alr,OKGGMJON_03906,+
rutD_2,OKGGMJON_03907,+
group_2915,OKGGMJON_03908,+
group_2916,OKGGMJON_03909,+
group_2917,OKGGMJON_03910,-
group_2918,OKGGMJON_03913,+
hrp1,OKGGMJON_03914,+
group_292,OKGGMJON_01259,+
group_2920,OKGGMJON_03915,-
group_2921,OKGGMJON_03916,-
group_2922,OKGGMJON_03918,-
group_2923,OKGGMJON_03919,+
group_2924,OKGGMJON_03931,+
group_2926,OKGGMJON_03933,+
choD,OKGGMJON_03937,+
group_2929,OKGGMJON_03938,-
group_293,OKGGMJON_01265,+
group_2930,OKGGMJON_03941,+
group_2931,OKGGMJON_03943,+
group_2933,OKGGMJON_03947,-
group_2934,OKGGMJON_03948,-
nreC_3,OKGGMJON_03951,+
bamB_2,OKGGMJON_03956,-
nlhH_2,OKGGMJON_03959,+
group_2938,OKGGMJON_03961,-
group_2939,OKGGMJON_03962,-
comM,OKGGMJON_01335,-
group_2940,OKGGMJON_03963,+
group_2941,OKGGMJON_03964,-
group_2942,OKGGMJON_03966,+
group_2943,OKGGMJON_03967,+
group_2946,OKGGMJON_03970,-
yyaP_2,OKGGMJON_03973,-
group_2948,OKGGMJON_03976,-
group_2949,OKGGMJON_03980,-
yehL,OKGGMJON_03981,+
group_2951,OKGGMJON_03984,+
group_2952,OKGGMJON_03987,-
group_2953,OKGGMJON_03997,+
group_2954,OKGGMJON_03999,+
group_2955,OKGGMJON_04001,-
group_2956,OKGGMJON_04002,-
opuAA_1,OKGGMJON_04006,+
group_2958,OKGGMJON_04007,+
group_2959,OKGGMJON_04008,+
group_296,OKGGMJON_01403,+
group_2960,OKGGMJON_04009,+
group_2961,OKGGMJON_04010,-
bglA_2,OKGGMJON_04011,-
lacF_2,OKGGMJON_04013,-
mdxE,OKGGMJON_04014,-
cah,OKGGMJON_04015,+
group_2966,OKGGMJON_04016,+
dppA_4,OKGGMJON_04017,-
group_2968,OKGGMJON_04019,+
group_2969,OKGGMJON_04022,+
group_2970,OKGGMJON_04024,+
rocD,OKGGMJON_04025,-
group_2972,OKGGMJON_04029,-
group_2973,OKGGMJON_04031,-
trpS_2,OKGGMJON_04033,+
group_2975,OKGGMJON_04035,+
ghrA_2,OKGGMJON_04036,+
dprE1,OKGGMJON_04040,-
yhjD,OKGGMJON_04041,+
group_298,OKGGMJON_01407,+
group_2980,OKGGMJON_04042,-
group_2981,OKGGMJON_04043,+
group_2982,OKGGMJON_04044,+
group_2985,OKGGMJON_04054,-
group_2986,OKGGMJON_04060,-
group_2987,OKGGMJON_04061,+
group_2988,OKGGMJON_04063,+
group_2989,OKGGMJON_04064,-
group_299,OKGGMJON_01654,-
group_2990,OKGGMJON_04065,-
group_2991,OKGGMJON_04066,-
group_2992,OKGGMJON_04070,-
group_2993,OKGGMJON_04073,-
group_2995,OKGGMJON_04075,+
scmP,OKGGMJON_04079,+
group_2998,OKGGMJON_04080,-
group_300,OKGGMJON_01414,+
group_3000,OKGGMJON_04082,+
group_3001,OKGGMJON_04083,+
group_3002,OKGGMJON_04084,+
group_3003,OKGGMJON_04085,+
mglA_2,OKGGMJON_04088,+
group_3006,OKGGMJON_04094,+
ynfM,OKGGMJON_04096,-
group_3008,OKGGMJON_04103,+
group_3010,OKGGMJON_04109,+
group_3011,OKGGMJON_04116,+
group_3012,OKGGMJON_04120,+
group_3013,OKGGMJON_04126,-
group_3015,OKGGMJON_04127,-
group_3016,OKGGMJON_04129,+
group_3017,OKGGMJON_04131,-
group_3018,OKGGMJON_04132,-
birA,OKGGMJON_04134,+
mviN,OKGGMJON_01418,+
group_3020,OKGGMJON_04139,-
group_3021,OKGGMJON_04141,+
yknY_3,OKGGMJON_04142,+
group_3023,OKGGMJON_04144,-
group_3024,OKGGMJON_04145,-
metB,OKGGMJON_04146,+
group_3026,OKGGMJON_04147,-
group_3027,OKGGMJON_04148,-
group_3028,OKGGMJON_04149,-
group_3029,OKGGMJON_04154,-
mca_1,OKGGMJON_04155,+
group_3031,OKGGMJON_04156,+
group_3032,OKGGMJON_04158,-
group_3033,OKGGMJON_04159,+
group_3034,OKGGMJON_04160,-
msrP_1,OKGGMJON_04162,+
nagAa,OKGGMJON_04163,+
group_3037,OKGGMJON_04174,+
group_3038,OKGGMJON_04175,-
aspC,OKGGMJON_04178,-
inhA_1,OKGGMJON_04179,+
alpha-LP_1,OKGGMJON_04180,+
group_3042,OKGGMJON_04181,+
dag,OKGGMJON_04182,-
iolC_1,OKGGMJON_04184,+
xynR,OKGGMJON_04185,+
group_3046,OKGGMJON_04187,+
mntH,OKGGMJON_04188,+
cmoM_1,OKGGMJON_04189,+
chiD,OKGGMJON_04190,-
group_3053,OKGGMJON_04191,+
group_3054,OKGGMJON_04194,+
group_3055,OKGGMJON_04198,+
degU_6,OKGGMJON_04199,+
group_3058,OKGGMJON_04207,+
group_3059,OKGGMJON_04211,+
aguA,OKGGMJON_01431,-
gpr,OKGGMJON_04212,-
group_3061,OKGGMJON_04216,+
group_3062,OKGGMJON_04220,-
yknY_4,OKGGMJON_04221,-
group_3064,OKGGMJON_04228,-
group_3065,OKGGMJON_04229,-
pknD_10,OKGGMJON_04236,+
group_3068,OKGGMJON_04237,+
group_3069,OKGGMJON_04240,+
xseB,OKGGMJON_04242,-
puuP,OKGGMJON_04244,-
group_3072,OKGGMJON_04248,-
purD_2,OKGGMJON_05385,+
group_3075,OKGGMJON_04254,+
gpm2,OKGGMJON_04257,+
group_3077,OKGGMJON_04260,+
speE_2,OKGGMJON_04261,+
group_3079,OKGGMJON_04266,-
group_308,OKGGMJON_01443,-
lacG_2,OKGGMJON_04267,-
araP,OKGGMJON_04268,-
group_3082,OKGGMJON_04269,-
group_3083,OKGGMJON_04272,+
group_3085,OKGGMJON_04283,-
iucD_1,OKGGMJON_04286,-
ddc_1,OKGGMJON_04287,-
viuB_2,OKGGMJON_04288,-
group_3089,OKGGMJON_04290,+
group_3090,OKGGMJON_04291,+
mce3R,OKGGMJON_04305,+
fieF,OKGGMJON_04308,+
group_3099,OKGGMJON_04312,-
group_31,OKGGMJON_01974,+
group_310,OKGGMJON_01449,+
opuE,OKGGMJON_04313,+
gbh,OKGGMJON_04314,+
ilvB,OKGGMJON_04315,+
group_3103,OKGGMJON_04316,+
ptp,OKGGMJON_04318,+
group_3105,OKGGMJON_04325,+
iolE,OKGGMJON_04326,-
iolC_2,OKGGMJON_04327,+
group_3108,OKGGMJON_04328,+
iolB,OKGGMJON_04329,+
iolD,OKGGMJON_04330,+
group_3112,OKGGMJON_04344,-
group_3113,OKGGMJON_04346,-
group_3114,OKGGMJON_04349,+
group_3115,OKGGMJON_04351,-
group_3116,OKGGMJON_04355,-
group_3117,OKGGMJON_04356,+
group_3118,OKGGMJON_04361,+
group_312,OKGGMJON_01511,+
group_3120,OKGGMJON_04364,+
ettA_3,OKGGMJON_04365,+
group_3122,OKGGMJON_04369,-
iolS_2,OKGGMJON_04371,+
pcm_4,OKGGMJON_04372,+
group_3125,OKGGMJON_04374,-
group_3126,OKGGMJON_04380,-
group_3127,OKGGMJON_04381,-
group_3128,OKGGMJON_04382,-
licH_1,OKGGMJON_04384,-
group_313,OKGGMJON_01533,-
group_3130,OKGGMJON_04385,-
group_3131,OKGGMJON_04386,-
group_3132,OKGGMJON_04387,+
group_3133,OKGGMJON_04388,+
group_3134,OKGGMJON_04398,+
group_3135,OKGGMJON_04405,+
pepN_2,OKGGMJON_04406,-
group_3137,OKGGMJON_04407,+
gabP_3,OKGGMJON_04413,-
nei1,OKGGMJON_04415,+
group_314,OKGGMJON_01679,-
group_3141,OKGGMJON_04417,+
group_3143,OKGGMJON_04427,-
folC,OKGGMJON_04430,+
mreB_1,OKGGMJON_04433,+
group_3146,OKGGMJON_04438,+
group_3147,OKGGMJON_04448,-
group_3148,OKGGMJON_04449,-
htpX_3,OKGGMJON_04457,-
group_3150,OKGGMJON_04458,+
group_3151,OKGGMJON_04465,+
group_3152,OKGGMJON_04470,+
degV,OKGGMJON_04471,+
yceI_2,OKGGMJON_04477,+
group_3156,OKGGMJON_04478,+
hemW,OKGGMJON_04483,+
group_3158,OKGGMJON_04484,-
group_3159,OKGGMJON_04485,-
group_316,OKGGMJON_01685,-
rsmE,OKGGMJON_04489,+
group_3161,OKGGMJON_04492,+
rnz,OKGGMJON_04493,+
group_3163,OKGGMJON_04494,-
group_3164,OKGGMJON_04495,+
oleD,OKGGMJON_04499,+
group_3166,OKGGMJON_04500,-
group_3167,OKGGMJON_04501,+
group_3168,OKGGMJON_04502,-
licH_2,OKGGMJON_04503,-
group_317,OKGGMJON_01686,-
group_3170,OKGGMJON_04505,+
group_3171,OKGGMJON_04507,+
yjbR,OKGGMJON_04510,+
group_3173,OKGGMJON_04511,+
group_3174,OKGGMJON_04513,-
prtS,OKGGMJON_04514,-
group_3176,OKGGMJON_04516,+
group_3177,OKGGMJON_04518,+
zur,OKGGMJON_04519,-
btuD_21,OKGGMJON_04521,-
nhaK_1,OKGGMJON_01715,-
znuA,OKGGMJON_04522,-
group_3181,OKGGMJON_04526,+
group_3182,OKGGMJON_04528,+
group_3183,OKGGMJON_04529,+
group_3184,OKGGMJON_04536,+
group_3185,OKGGMJON_04537,+
group_3186,OKGGMJON_04539,-
cutA,OKGGMJON_04545,+
ureD_1,OKGGMJON_04547,-
ureG_1,OKGGMJON_04548,-
ureF_1,OKGGMJON_04549,-
ureC_2,OKGGMJON_04550,-
ureB_1,OKGGMJON_04551,-
ybjJ_4,OKGGMJON_04553,-
tam_7,OKGGMJON_04554,-
group_3196,OKGGMJON_04573,+
group_3197,OKGGMJON_04577,+
hrdA,OKGGMJON_04578,-
group_3199,OKGGMJON_04583,-
yedK,OKGGMJON_01741,-
dgt,OKGGMJON_04588,-
group_3201,OKGGMJON_04589,+
fgd1,OKGGMJON_04591,+
ligD_2,OKGGMJON_04592,+
katE,OKGGMJON_04593,+
group_3206,OKGGMJON_04594,+
group_3207,OKGGMJON_04596,-
yghA,OKGGMJON_04597,-
group_3209,OKGGMJON_04598,-
group_3210,OKGGMJON_04599,-
prmC_5,OKGGMJON_04600,-
group_3213,OKGGMJON_04602,-
mreB_2,OKGGMJON_04603,-
entS_5,OKGGMJON_04604,+
group_3218,OKGGMJON_04607,-
cysZ,OKGGMJON_04610,+
ubiB,OKGGMJON_01766,+
group_3220,OKGGMJON_04611,-
nagZ_4,OKGGMJON_04612,+
acpM,OKGGMJON_04618,-
fabD,OKGGMJON_04620,-
group_3224,OKGGMJON_04627,-
group_3225,OKGGMJON_04630,-
group_3226,OKGGMJON_04631,-
group_3227,OKGGMJON_04632,-
group_3228,OKGGMJON_04633,+
group_3229,OKGGMJON_04639,+
group_323,OKGGMJON_01780,+
group_3230,OKGGMJON_04641,-
group_3231,OKGGMJON_04643,+
group_3232,OKGGMJON_04644,+
group_3233,OKGGMJON_04646,-
group_3234,OKGGMJON_04648,-
group_3235,OKGGMJON_04650,-
group_3236,OKGGMJON_04651,-
group_3237,OKGGMJON_04652,+
group_3238,OKGGMJON_04654,-
hxpA,OKGGMJON_04657,+
group_3240,OKGGMJON_04658,-
mdtD_4,OKGGMJON_04659,+
group_3242,OKGGMJON_04662,+
group_3243,OKGGMJON_04665,-
group_3244,OKGGMJON_04668,-
group_3245,OKGGMJON_04670,-
mshA_3,OKGGMJON_04671,+
group_3247,OKGGMJON_04673,+
uctC_2,OKGGMJON_04679,+
stp_4,OKGGMJON_04682,+
caeB,OKGGMJON_01783,+
group_3254,OKGGMJON_04684,-
group_3255,OKGGMJON_04686,+
group_3256,OKGGMJON_04687,+
group_3257,OKGGMJON_04688,-
eda,OKGGMJON_04689,-
group_3259,OKGGMJON_04690,-
mshA_1,OKGGMJON_01788,-
group_3261,OKGGMJON_04692,-
group_3262,OKGGMJON_04693,+
group_3263,OKGGMJON_04694,+
yodB,OKGGMJON_04695,+
acg,OKGGMJON_04696,+
group_3266,OKGGMJON_04697,+
acsA_3,OKGGMJON_04698,-
group_3268,OKGGMJON_04703,-
hcaB_3,OKGGMJON_04704,-
degP,OKGGMJON_01813,-
group_3270,OKGGMJON_04710,+
group_3271,OKGGMJON_04713,+
group_3272,OKGGMJON_04714,-
hmuV,OKGGMJON_04715,-
btuC_3,OKGGMJON_04716,-
btuF_3,OKGGMJON_04717,-
group_3276,OKGGMJON_04718,+
group_3277,OKGGMJON_04720,+
group_3278,OKGGMJON_04725,+
rip2,OKGGMJON_04726,-
group_328,OKGGMJON_01860,-
mmcO,OKGGMJON_04731,-
group_3281,OKGGMJON_04733,-
group_3282,OKGGMJON_04734,-
nfdA_1,OKGGMJON_04748,+
group_3284,OKGGMJON_04749,-
dasA_3,OKGGMJON_04752,+
cytR_4,OKGGMJON_04756,+
aml,OKGGMJON_04757,+
pulA,OKGGMJON_04758,+
group_329,OKGGMJON_01910,+
ophA1,OKGGMJON_04760,-
group_3293,OKGGMJON_04761,-
group_3294,OKGGMJON_04766,-
group_3295,OKGGMJON_04767,-
group_3296,OKGGMJON_04770,-
group_3297,OKGGMJON_04771,+
yfgD,OKGGMJON_04772,-
mutA,OKGGMJON_04777,-
group_33,OKGGMJON_03504,-
group_330,OKGGMJON_01916,+
cobK,OKGGMJON_04784,-
ywiE,OKGGMJON_04788,-
ppk2B,OKGGMJON_04789,+
group_3303,OKGGMJON_04793,+
lipA,OKGGMJON_04802,-
group_3305,OKGGMJON_04806,+
group_3306,OKGGMJON_04807,+
group_3307,OKGGMJON_04808,+
pldh-t,OKGGMJON_04810,+
group_3309,OKGGMJON_04811,-
btuD_10,OKGGMJON_01966,-
pepA,OKGGMJON_04817,-
group_3311,OKGGMJON_04820,+
cobT_1,OKGGMJON_04821,-
group_3313,OKGGMJON_04822,+
group_3314,OKGGMJON_04823,-
cmoM_2,OKGGMJON_04825,-
group_3316,OKGGMJON_04828,+
vraR_4,OKGGMJON_04830,+
swrC,OKGGMJON_04831,+
group_3319,OKGGMJON_04834,-
ctaF,OKGGMJON_04841,+
garK_2,OKGGMJON_04851,-
group_3322,OKGGMJON_04852,-
group_3323,OKGGMJON_04857,-
group_3324,OKGGMJON_04861,+
group_3325,OKGGMJON_04867,+
group_3326,OKGGMJON_04868,+
group_3327,OKGGMJON_04872,+
group_3328,OKGGMJON_04873,-
group_3329,OKGGMJON_04876,+
group_333,OKGGMJON_01971,-
degU_7,OKGGMJON_04877,+
ldhA,OKGGMJON_04878,+
menF_1,OKGGMJON_04879,-
group_3333,OKGGMJON_04881,+
yedY1,OKGGMJON_04883,+
hcnC,OKGGMJON_04891,-
thcD,OKGGMJON_04892,+
group_3337,OKGGMJON_04893,+
thiE,OKGGMJON_04894,+
group_3339,OKGGMJON_04896,+
crtNb,OKGGMJON_04897,-
group_3341,OKGGMJON_04899,-
group_3342,OKGGMJON_04904,-
group_3343,OKGGMJON_04918,+
group_3344,OKGGMJON_04919,+
ileS,OKGGMJON_04923,-
group_3346,OKGGMJON_04929,+
group_3347,OKGGMJON_04936,-
group_3348,OKGGMJON_04939,+
group_3349,OKGGMJON_04940,+
group_335,OKGGMJON_01997,-
priA_1,OKGGMJON_04950,+
group_3351,OKGGMJON_04953,-
hisI,OKGGMJON_04955,+
group_3353,OKGGMJON_04956,-
group_3354,OKGGMJON_04959,+
group_3355,OKGGMJON_04960,+
group_3356,OKGGMJON_04964,+
lgt,OKGGMJON_04965,+
mcl2,OKGGMJON_04966,-
rbsK_2,OKGGMJON_04968,-
group_3360,OKGGMJON_04969,-
group_3361,OKGGMJON_04970,-
group_3362,OKGGMJON_04971,-
group_3363,OKGGMJON_04972,-
group_3364,OKGGMJON_04973,+
group_3365,OKGGMJON_04976,-
group_3366,OKGGMJON_04979,-
group_3367,OKGGMJON_04981,-
group_3369,OKGGMJON_04982,+
iucD_2,OKGGMJON_04986,+
cpdB,OKGGMJON_04987,-
group_3372,OKGGMJON_04989,-
group_3373,OKGGMJON_05001,+
hrpB,OKGGMJON_05003,-
group_3375,OKGGMJON_05006,-
coaE,OKGGMJON_05008,+
group_3377,OKGGMJON_05009,+
group_3379,OKGGMJON_05012,+
ydaF_1,OKGGMJON_02035,+
group_3380,OKGGMJON_05013,-
group_3381,OKGGMJON_05015,-
group_3382,OKGGMJON_05019,-
group_3383,OKGGMJON_05020,+
group_3384,OKGGMJON_05021,+
rfnT,OKGGMJON_05022,-
ogt_3,OKGGMJON_05023,-
glpQ_2,OKGGMJON_05024,-
uvrB,OKGGMJON_05026,+
aroQ,OKGGMJON_05031,+
group_339,OKGGMJON_02046,+
gloC,OKGGMJON_05032,-
group_3391,OKGGMJON_05035,+
group_3392,OKGGMJON_05036,+
group_3393,OKGGMJON_05055,+
ctaA,OKGGMJON_05056,-
group_3395,OKGGMJON_05057,-
group_3396,OKGGMJON_05059,+
group_3397,OKGGMJON_05069,-
group_3398,OKGGMJON_05070,+
group_3399,OKGGMJON_05072,-
group_34,OKGGMJON_03303,+
degU_8,OKGGMJON_05076,-
group_3401,OKGGMJON_05077,-
group_3402,OKGGMJON_05078,-
aldH,OKGGMJON_05079,+
nicR,OKGGMJON_05082,-
nemA,OKGGMJON_05083,+
group_3406,OKGGMJON_05090,+
group_3407,OKGGMJON_05091,+
group_3408,OKGGMJON_05092,-
group_3409,OKGGMJON_05093,-
group_341,OKGGMJON_02068,-
cobB_3,OKGGMJON_05094,-
group_3411,OKGGMJON_05096,-
cobQ,OKGGMJON_05097,-
cobD,OKGGMJON_05098,-
group_3414,OKGGMJON_05099,-
drdA,OKGGMJON_05101,+
group_3416,OKGGMJON_05102,+
group_3418,OKGGMJON_05104,-
group_3419,OKGGMJON_05110,+
group_342,OKGGMJON_02076,-
group_3420,OKGGMJON_05113,+
group_3421,OKGGMJON_05116,-
group_3422,OKGGMJON_05118,+
group_3423,OKGGMJON_05119,+
group_3424,OKGGMJON_05120,-
frc,OKGGMJON_05122,-
group_3426,OKGGMJON_05123,-
hutI_2,OKGGMJON_05129,-
group_3428,OKGGMJON_05131,-
group_3429,OKGGMJON_05132,+
group_3430,OKGGMJON_05136,+
yycB,OKGGMJON_05138,+
group_3432,OKGGMJON_05140,+
ydaD_2,OKGGMJON_05146,-
group_3434,OKGGMJON_05152,+
group_3435,OKGGMJON_05157,+
group_3436,OKGGMJON_05162,+
group_3437,OKGGMJON_05163,-
group_3438,OKGGMJON_05164,+
group_3439,OKGGMJON_05165,-
phrB_2,OKGGMJON_02088,+
ppnK,OKGGMJON_05167,+
group_3441,OKGGMJON_05171,+
kanE,OKGGMJON_05172,+
pucR,OKGGMJON_05173,-
group_3444,OKGGMJON_05177,+
group_3445,OKGGMJON_05178,+
draG,OKGGMJON_05186,+
group_3447,OKGGMJON_05187,+
group_3448,OKGGMJON_05189,+
plsC_1,OKGGMJON_05191,+
group_3450,OKGGMJON_05193,-
mshA_4,OKGGMJON_05196,+
group_3452,OKGGMJON_05197,+
group_3453,OKGGMJON_05198,+
group_3454,OKGGMJON_05200,-
qacA_6,OKGGMJON_05201,+
group_3456,OKGGMJON_05203,+
glnH_3,OKGGMJON_05204,-
group_3458,OKGGMJON_05206,+
glnQ_4,OKGGMJON_05207,+
fliA,OKGGMJON_02122,+
ntaA,OKGGMJON_05209,+
sprB,OKGGMJON_05211,+
sprD,OKGGMJON_05213,+
dinB1_1,OKGGMJON_05217,+
group_3464,OKGGMJON_05219,+
gbpA_3,OKGGMJON_05220,-
group_3466,OKGGMJON_05221,-
ytrA_5,OKGGMJON_05223,+
group_3468,OKGGMJON_05225,+
group_3469,OKGGMJON_05230,-
rpoD,OKGGMJON_03205,-
group_3470,OKGGMJON_05231,-
group_3471,OKGGMJON_05232,-
group_3472,OKGGMJON_05233,-
group_3473,OKGGMJON_05235,-
group_3474,OKGGMJON_05237,+
group_3475,OKGGMJON_05241,-
nagR_4,OKGGMJON_05242,-
hmgA_2,OKGGMJON_05243,-
group_3479,OKGGMJON_05254,-
COQ3_2,OKGGMJON_02158,-
ettA_4,OKGGMJON_05258,+
lcfB_2,OKGGMJON_05263,+
group_3482,OKGGMJON_05266,-
group_3483,OKGGMJON_05267,+
group_3484,OKGGMJON_05268,-
yfcD_2,OKGGMJON_05270,-
group_3486,OKGGMJON_05273,-
group_3487,OKGGMJON_05274,+
cmlA,OKGGMJON_05275,+
group_3489,OKGGMJON_05281,-
group_349,OKGGMJON_02197,-
group_3490,OKGGMJON_05282,+
group_3491,OKGGMJON_05288,+
recD2_2,OKGGMJON_05289,-
yajO_3,OKGGMJON_05290,-
group_3494,OKGGMJON_05292,+
pspA,OKGGMJON_05295,+
group_3496,OKGGMJON_05297,+
group_3497,OKGGMJON_05299,-
glpD,OKGGMJON_05300,-
glpF,OKGGMJON_05302,-
group_3500,OKGGMJON_05306,+
group_3501,OKGGMJON_05308,-
group_3502,OKGGMJON_05320,+
pafA,OKGGMJON_05321,+
group_3504,OKGGMJON_05327,+
dagK,OKGGMJON_05330,+
ptlI,OKGGMJON_05333,+
group_3507,OKGGMJON_05340,-
group_3508,OKGGMJON_05341,-
rskA,OKGGMJON_05343,-
group_351,OKGGMJON_02205,-
sigK,OKGGMJON_05344,-
group_3511,OKGGMJON_05345,-
opuAA_2,OKGGMJON_05347,+
group_3513,OKGGMJON_05348,+
group_3514,OKGGMJON_05353,-
lldR_2,OKGGMJON_05355,-
feaB,OKGGMJON_05357,+
group_3517,OKGGMJON_05361,+
group_3518,OKGGMJON_05362,+
group_3519,OKGGMJON_05363,+
aqpZ,OKGGMJON_05364,+
group_3521,OKGGMJON_05365,-
group_3522,OKGGMJON_05370,+
pheT,OKGGMJON_05373,+
group_3524,OKGGMJON_05410,-
group_3525,OKGGMJON_05411,+
group_3526,OKGGMJON_05412,+
group_3527,OKGGMJON_05416,+
group_3528,OKGGMJON_05417,+
group_3529,OKGGMJON_05419,-
pspB,OKGGMJON_02212,+
group_3531,OKGGMJON_05420,+
group_3532,OKGGMJON_05421,-
folD_2,OKGGMJON_05422,+
group_3534,OKGGMJON_05423,-
argC,OKGGMJON_05425,+
group_3537,OKGGMJON_05432,+
ydfJ_3,OKGGMJON_05433,+
panS,OKGGMJON_05434,-
group_3540,OKGGMJON_05435,-
group_3541,OKGGMJON_05438,-
group_3542,OKGGMJON_05444,+
vldH,OKGGMJON_05448,+
metP,OKGGMJON_05450,+
metQ,OKGGMJON_05452,+
cobT_2,OKGGMJON_05455,+
group_3547,OKGGMJON_05457,+
group_3548,OKGGMJON_05461,+
group_3549,OKGGMJON_05464,+
pip_2,OKGGMJON_02217,+
dat_2,OKGGMJON_05472,+
mshD_5,OKGGMJON_05473,+
group_3552,OKGGMJON_05474,-
group_3553,OKGGMJON_05475,+
group_3554,OKGGMJON_05477,-
group_3555,OKGGMJON_05479,+
group_3556,OKGGMJON_05483,-
group_3557,OKGGMJON_05484,-
group_3558,OKGGMJON_05486,-
group_3559,OKGGMJON_05492,+
lcpB_2,OKGGMJON_02219,-
pdxT,OKGGMJON_05494,+
ruvB_1,OKGGMJON_05498,+
