Gene,albidoflavus_W68,Sign
group_2687,PCKCKJGC_02893,-
group_2688,PCKCKJGC_02891,+
group_2689,PCKCKJGC_02888,+
aes,PCKCKJGC_02887,-
group_2691,PCKCKJGC_02882,-
group_2692,PCKCKJGC_02874,+
group_2693,PCKCKJGC_02873,-
group_2694,PCKCKJGC_02869,+
group_2695,PCKCKJGC_02867,+
group_2696,PCKCKJGC_02866,+
yfiZ_3,PCKCKJGC_02865,-
yfhA_4,PCKCKJGC_02864,-
yfmC,PCKCKJGC_02862,-
group_27,PCKCKJGC_02583,+
btuF_1,PCKCKJGC_00799,+
group_2700,PCKCKJGC_02861,-
group_2702,PCKCKJGC_02860,+
btuD_17,PCKCKJGC_02859,+
group_2704,PCKCKJGC_02855,-
group_2705,PCKCKJGC_02854,+
group_2706,PCKCKJGC_02852,+
group_2707,PCKCKJGC_02846,+
abaF_3,PCKCKJGC_02841,+
group_2709,PCKCKJGC_02836,-
group_2710,PCKCKJGC_02830,-
group_2711,PCKCKJGC_02829,-
malY,PCKCKJGC_02826,-
kynU_1,PCKCKJGC_02821,-
group_2714,PCKCKJGC_02820,-
group_2715,PCKCKJGC_02818,-
group_2716,PCKCKJGC_02816,-
group_2717,PCKCKJGC_02815,+
menH_3,PCKCKJGC_02805,+
group_2720,PCKCKJGC_02788,+
group_2721,PCKCKJGC_02784,+
group_2722,PCKCKJGC_02779,-
group_2723,PCKCKJGC_02775,-
group_2724,PCKCKJGC_02774,-
comR_2,PCKCKJGC_02773,-
linC_2,PCKCKJGC_02772,-
group_2727,PCKCKJGC_02770,+
group_2728,PCKCKJGC_02766,+
pstS3,PCKCKJGC_02764,+
group_273,PCKCKJGC_00821,+
mutT1,PCKCKJGC_02763,+
group_2731,PCKCKJGC_02762,-
group_2732,PCKCKJGC_02759,+
group_2733,PCKCKJGC_02758,+
group_2734,PCKCKJGC_02757,-
group_2735,PCKCKJGC_02754,-
group_2736,PCKCKJGC_02753,+
menH_4,PCKCKJGC_02752,-
group_2738,PCKCKJGC_02751,+
group_2739,PCKCKJGC_02750,+
noxE,PCKCKJGC_00874,+
group_2740,PCKCKJGC_02748,-
sigE_3,PCKCKJGC_02738,-
group_2743,PCKCKJGC_02736,+
COQ5_4,PCKCKJGC_02735,-
neo,PCKCKJGC_02734,+
oleB,PCKCKJGC_02731,-
hchA,PCKCKJGC_02729,-
group_2749,PCKCKJGC_02728,+
group_2750,PCKCKJGC_02727,+
group_2751,PCKCKJGC_02723,+
group_2752,PCKCKJGC_02722,+
group_2753,PCKCKJGC_02719,+
group_2754,PCKCKJGC_02718,+
group_2755,PCKCKJGC_02717,+
group_2756,PCKCKJGC_02715,+
group_2757,PCKCKJGC_02713,-
mshD_3,PCKCKJGC_02712,+
yhcR,PCKCKJGC_02711,-
group_276,PCKCKJGC_00894,+
araA,PCKCKJGC_02709,+
sbpA,PCKCKJGC_02705,-
xylG,PCKCKJGC_02704,-
group_2763,PCKCKJGC_02702,-
mprB,PCKCKJGC_02701,+
mprA_2,PCKCKJGC_02700,+
group_2766,PCKCKJGC_02699,+
group_2767,PCKCKJGC_02695,-
group_2768,PCKCKJGC_02693,-
group_2769,PCKCKJGC_02689,+
group_277,PCKCKJGC_00897,+
group_2770,PCKCKJGC_02684,-
dtd,PCKCKJGC_02681,+
group_2772,PCKCKJGC_02679,-
group_2773,PCKCKJGC_02678,+
drrB_2,PCKCKJGC_02671,+
ehpR,PCKCKJGC_02666,-
group_2777,PCKCKJGC_02665,+
rox,PCKCKJGC_02664,-
group_2779,PCKCKJGC_02663,+
COQ3_3,PCKCKJGC_02662,-
group_2781,PCKCKJGC_02659,+
group_2783,PCKCKJGC_02657,-
group_2784,PCKCKJGC_02656,-
group_2785,PCKCKJGC_02655,-
group_2786,PCKCKJGC_02654,+
group_2787,PCKCKJGC_02653,+
group_2788,PCKCKJGC_02651,+
group_2790,PCKCKJGC_02647,-
group_2791,PCKCKJGC_03385,+
ydjE_2,PCKCKJGC_03386,-
pmdD,PCKCKJGC_03387,-
ligJ,PCKCKJGC_03389,-
galD,PCKCKJGC_03390,-
group_2796,PCKCKJGC_03392,-
group_2797,PCKCKJGC_03394,-
group_2798,PCKCKJGC_03395,-
group_2799,PCKCKJGC_03397,+
group_28,PCKCKJGC_02675,+
group_2800,PCKCKJGC_03398,-
group_2801,PCKCKJGC_03399,+
group_2802,PCKCKJGC_03405,-
group_2803,PCKCKJGC_03407,-
group_2804,PCKCKJGC_03408,+
yfmT,PCKCKJGC_03409,+
group_2806,PCKCKJGC_03410,+
group_2807,PCKCKJGC_03411,+
group_2808,PCKCKJGC_03414,+
group_2809,PCKCKJGC_03415,-
group_281,PCKCKJGC_00905,-
group_2810,PCKCKJGC_03417,+
group_2811,PCKCKJGC_03418,+
group_2812,PCKCKJGC_03424,-
group_2813,PCKCKJGC_03430,+
opuBC,PCKCKJGC_03431,+
group_2815,PCKCKJGC_03432,+
group_2817,PCKCKJGC_03443,-
ytrA_4,PCKCKJGC_03444,-
group_2819,PCKCKJGC_03445,+
group_2820,PCKCKJGC_03448,-
sucD_1,PCKCKJGC_03450,-
group_2822,PCKCKJGC_03452,+
group_2823,PCKCKJGC_03454,+
group_2824,PCKCKJGC_03456,-
group_2825,PCKCKJGC_03458,-
group_2826,PCKCKJGC_03460,-
group_2827,PCKCKJGC_03461,+
liaR_7,PCKCKJGC_03462,+
group_2829,PCKCKJGC_03464,+
phoD_1,PCKCKJGC_00974,+
panC,PCKCKJGC_03465,+
mutY,PCKCKJGC_03481,-
group_2832,PCKCKJGC_03483,+
group_2833,PCKCKJGC_03486,-
group_2834,PCKCKJGC_03490,-
group_2835,PCKCKJGC_03492,+
betI_8,PCKCKJGC_03494,+
group_2837,PCKCKJGC_03497,+
group_2838,PCKCKJGC_03498,+
group_2839,PCKCKJGC_03502,+
trpS_1,PCKCKJGC_03504,-
yieH_1,PCKCKJGC_03508,+
group_2842,PCKCKJGC_03514,+
group_2843,PCKCKJGC_03520,+
hemB,PCKCKJGC_03525,+
lysN,PCKCKJGC_03531,+
group_2846,PCKCKJGC_03535,+
group_2847,PCKCKJGC_03536,-
group_2848,PCKCKJGC_03537,-
dauA_2,PCKCKJGC_03539,+
group_2851,PCKCKJGC_03544,+
group_2852,PCKCKJGC_03547,-
group_2853,PCKCKJGC_03550,+
group_2854,PCKCKJGC_03555,+
ccs1,PCKCKJGC_03556,+
ccsA,PCKCKJGC_03557,+
group_2857,PCKCKJGC_03559,-
group_2858,PCKCKJGC_03563,-
group_2859,PCKCKJGC_03566,+
group_2860,PCKCKJGC_03569,-
group_2862,PCKCKJGC_03578,-
hcaB_2,PCKCKJGC_03579,-
fadI,PCKCKJGC_03580,+
mqnA,PCKCKJGC_03583,+
group_2871,PCKCKJGC_03593,-
group_2874,PCKCKJGC_03606,+
group_2875,PCKCKJGC_03607,+
group_2876,PCKCKJGC_03610,+
group_2877,PCKCKJGC_03633,-
group_2878,PCKCKJGC_03634,+
group_2879,PCKCKJGC_03635,-
group_2880,PCKCKJGC_03637,-
group_2881,PCKCKJGC_03638,+
group_2882,PCKCKJGC_03639,-
group_2883,PCKCKJGC_03643,-
group_2884,PCKCKJGC_03644,+
group_2885,PCKCKJGC_03645,-
rarD,PCKCKJGC_03646,-
qorB_2,PCKCKJGC_03647,-
group_2888,PCKCKJGC_03652,-
group_2889,PCKCKJGC_03653,-
ptsH_2,PCKCKJGC_01092,+
nuoJ,PCKCKJGC_03658,+
ndhE,PCKCKJGC_03659,+
ndhB_2,PCKCKJGC_03660,+
ndhB_3,PCKCKJGC_03662,+
murB,PCKCKJGC_03675,+
group_2895,PCKCKJGC_03676,-
group_2896,PCKCKJGC_03677,-
group_2897,PCKCKJGC_03684,+
group_2898,PCKCKJGC_03690,-
group_2899,PCKCKJGC_03700,+
group_290,PCKCKJGC_01158,+
panD,PCKCKJGC_03706,+
group_2901,PCKCKJGC_03707,-
rplD,PCKCKJGC_03710,+
rplV,PCKCKJGC_03714,+
truA,PCKCKJGC_03738,+
acpS,PCKCKJGC_03750,+
group_2908,PCKCKJGC_03752,-
group_2909,PCKCKJGC_03753,-
group_291,PCKCKJGC_01164,+
alr,PCKCKJGC_03764,+
rutD_2,PCKCKJGC_03765,+
group_2915,PCKCKJGC_03766,+
group_2916,PCKCKJGC_03767,+
group_2917,PCKCKJGC_03768,-
group_2918,PCKCKJGC_03772,+
hrp1,PCKCKJGC_03773,+
group_292,PCKCKJGC_01205,+
group_2920,PCKCKJGC_03774,-
group_2921,PCKCKJGC_03775,-
group_2922,PCKCKJGC_03777,-
group_2923,PCKCKJGC_03778,+
group_2924,PCKCKJGC_03790,+
group_2926,PCKCKJGC_03792,+
choD,PCKCKJGC_03796,+
group_2929,PCKCKJGC_03797,-
group_293,PCKCKJGC_01211,+
group_2930,PCKCKJGC_03800,+
group_2931,PCKCKJGC_03802,+
group_2933,PCKCKJGC_03806,-
group_2934,PCKCKJGC_03807,-
nreC_3,PCKCKJGC_03809,+
bamB_2,PCKCKJGC_03813,-
nlhH_2,PCKCKJGC_03817,+
group_2938,PCKCKJGC_03819,-
group_2939,PCKCKJGC_03820,-
comM,PCKCKJGC_01279,-
group_2940,PCKCKJGC_03821,+
group_2941,PCKCKJGC_03822,-
group_2942,PCKCKJGC_03824,+
group_2943,PCKCKJGC_03825,+
group_2946,PCKCKJGC_03828,-
yyaP_2,PCKCKJGC_03831,-
group_2948,PCKCKJGC_03833,-
group_2949,PCKCKJGC_03837,-
yehL,PCKCKJGC_03838,+
group_2951,PCKCKJGC_03841,+
group_2952,PCKCKJGC_03844,-
group_2953,PCKCKJGC_03853,+
group_2954,PCKCKJGC_03855,+
group_2955,PCKCKJGC_03857,-
group_2956,PCKCKJGC_03858,-
opuAA_1,PCKCKJGC_03862,+
group_2958,PCKCKJGC_03863,+
group_2959,PCKCKJGC_03864,+
group_296,PCKCKJGC_01348,+
group_2960,PCKCKJGC_03865,+
group_2961,PCKCKJGC_03866,-
bglA_2,PCKCKJGC_03867,-
lacF_2,PCKCKJGC_03869,-
mdxE,PCKCKJGC_03870,-
cah,PCKCKJGC_03871,+
group_2966,PCKCKJGC_03872,+
dppA_4,PCKCKJGC_03873,-
group_2968,PCKCKJGC_03875,+
group_2969,PCKCKJGC_03878,+
group_2970,PCKCKJGC_03880,+
rocD,PCKCKJGC_03881,-
group_2972,PCKCKJGC_03885,-
group_2973,PCKCKJGC_03887,-
trpS_2,PCKCKJGC_03889,+
group_2975,PCKCKJGC_03891,+
ghrA_2,PCKCKJGC_03892,+
dprE1,PCKCKJGC_03896,-
yhjD,PCKCKJGC_03897,+
group_298,PCKCKJGC_01351,+
group_2980,PCKCKJGC_03898,-
group_2981,PCKCKJGC_03899,+
group_2982,PCKCKJGC_03900,+
group_2985,PCKCKJGC_03904,-
group_2986,PCKCKJGC_03910,-
group_2987,PCKCKJGC_03911,+
group_2988,PCKCKJGC_03913,+
group_2989,PCKCKJGC_03914,-
group_299,PCKCKJGC_01606,-
group_2990,PCKCKJGC_03915,-
group_2991,PCKCKJGC_03916,-
group_2992,PCKCKJGC_03920,-
group_2993,PCKCKJGC_03923,-
group_2995,PCKCKJGC_03925,+
scmP,PCKCKJGC_03929,+
group_2998,PCKCKJGC_03930,-
group_300,PCKCKJGC_01358,+
group_3000,PCKCKJGC_03932,+
group_3001,PCKCKJGC_03933,+
group_3002,PCKCKJGC_03934,+
group_3003,PCKCKJGC_03935,+
mglA_2,PCKCKJGC_03938,+
group_3006,PCKCKJGC_03944,+
ynfM,PCKCKJGC_03946,-
group_3008,PCKCKJGC_03954,+
group_3010,PCKCKJGC_03958,+
group_3011,PCKCKJGC_03966,+
group_3012,PCKCKJGC_03970,+
group_3013,PCKCKJGC_03976,-
group_3015,PCKCKJGC_03977,-
group_3016,PCKCKJGC_03979,+
group_3017,PCKCKJGC_03981,-
group_3018,PCKCKJGC_03982,-
birA,PCKCKJGC_03984,+
mviN,PCKCKJGC_01361,+
group_3020,PCKCKJGC_03990,-
group_3021,PCKCKJGC_03992,+
yknY_3,PCKCKJGC_03993,+
group_3023,PCKCKJGC_03995,-
group_3024,PCKCKJGC_03996,-
metB,PCKCKJGC_04001,+
group_3026,PCKCKJGC_04002,-
group_3027,PCKCKJGC_04003,-
group_3028,PCKCKJGC_04004,-
group_3029,PCKCKJGC_04009,-
mca_1,PCKCKJGC_04010,+
group_3031,PCKCKJGC_04011,+
group_3032,PCKCKJGC_04013,-
group_3033,PCKCKJGC_04014,+
group_3034,PCKCKJGC_04015,-
msrP_1,PCKCKJGC_04017,+
nagAa,PCKCKJGC_04018,+
group_3037,PCKCKJGC_04024,+
group_3038,PCKCKJGC_04025,-
aspC,PCKCKJGC_04028,-
inhA_1,PCKCKJGC_04029,+
alpha-LP_1,PCKCKJGC_04030,+
group_3042,PCKCKJGC_04031,+
dag,PCKCKJGC_04032,-
iolC_1,PCKCKJGC_04034,+
xynR,PCKCKJGC_04035,+
group_3046,PCKCKJGC_04037,+
mntH,PCKCKJGC_04039,+
cmoM_1,PCKCKJGC_04040,+
chiD,PCKCKJGC_04041,-
group_3053,PCKCKJGC_04042,+
group_3054,PCKCKJGC_04045,+
group_3055,PCKCKJGC_04049,+
degU_6,PCKCKJGC_04050,+
group_3058,PCKCKJGC_04056,+
group_3059,PCKCKJGC_04060,+
aguA,PCKCKJGC_01374,-
gpr,PCKCKJGC_04061,-
group_3061,PCKCKJGC_04065,+
group_3062,PCKCKJGC_04069,-
yknY_4,PCKCKJGC_04070,-
group_3064,PCKCKJGC_04077,-
group_3065,PCKCKJGC_04078,-
pknD_10,PCKCKJGC_04086,+
group_3068,PCKCKJGC_04087,+
group_3069,PCKCKJGC_04090,+
xseB,PCKCKJGC_04092,-
puuP,PCKCKJGC_04094,-
group_3072,PCKCKJGC_04097,-
purD_2,PCKCKJGC_05198,+
group_3075,PCKCKJGC_04103,+
gpm2,PCKCKJGC_04106,+
group_3077,PCKCKJGC_04108,+
speE_2,PCKCKJGC_04109,+
group_3079,PCKCKJGC_04113,-
group_308,PCKCKJGC_01383,-
lacG_2,PCKCKJGC_04114,-
araP,PCKCKJGC_04115,-
group_3082,PCKCKJGC_04116,-
group_3083,PCKCKJGC_04118,+
group_3085,PCKCKJGC_04130,-
iucD_1,PCKCKJGC_04133,-
ddc_1,PCKCKJGC_04134,-
viuB_2,PCKCKJGC_04135,-
group_3089,PCKCKJGC_04137,+
group_3090,PCKCKJGC_04138,+
mce3R,PCKCKJGC_04152,+
fieF,PCKCKJGC_04155,+
group_3099,PCKCKJGC_04158,-
group_31,PCKCKJGC_01923,+
group_310,PCKCKJGC_01389,+
opuE,PCKCKJGC_04159,+
gbh,PCKCKJGC_04160,+
ilvB,PCKCKJGC_04161,+
group_3103,PCKCKJGC_04162,+
ptp,PCKCKJGC_04164,+
group_3105,PCKCKJGC_04170,+
iolE,PCKCKJGC_04171,-
iolC_2,PCKCKJGC_04172,+
group_3108,PCKCKJGC_04173,+
iolB,PCKCKJGC_04174,+
iolD,PCKCKJGC_04175,+
group_3112,PCKCKJGC_04184,-
group_3113,PCKCKJGC_04186,-
group_3114,PCKCKJGC_04189,+
group_3115,PCKCKJGC_04191,-
group_3116,PCKCKJGC_04195,-
group_3117,PCKCKJGC_04196,+
group_3118,PCKCKJGC_04201,+
group_312,PCKCKJGC_01451,+
group_3120,PCKCKJGC_04204,+
ettA_3,PCKCKJGC_04205,+
group_3122,PCKCKJGC_04212,-
iolS_2,PCKCKJGC_04214,+
pcm_4,PCKCKJGC_04215,+
group_3125,PCKCKJGC_04217,-
group_3126,PCKCKJGC_04220,-
group_3127,PCKCKJGC_04221,-
group_3128,PCKCKJGC_04222,-
licH_1,PCKCKJGC_04224,-
group_313,PCKCKJGC_01493,-
group_3130,PCKCKJGC_04225,-
group_3131,PCKCKJGC_04226,-
group_3132,PCKCKJGC_04227,+
group_3133,PCKCKJGC_04228,+
group_3134,PCKCKJGC_04239,+
group_3135,PCKCKJGC_04246,+
pepN_2,PCKCKJGC_04247,-
group_3137,PCKCKJGC_04248,+
gabP_3,PCKCKJGC_04254,-
nei1,PCKCKJGC_04256,+
group_314,PCKCKJGC_01628,-
group_3141,PCKCKJGC_04258,+
group_3143,PCKCKJGC_04268,-
folC,PCKCKJGC_04271,+
mreB_1,PCKCKJGC_04274,+
group_3146,PCKCKJGC_04279,+
group_3147,PCKCKJGC_04288,-
group_3148,PCKCKJGC_04289,-
htpX_3,PCKCKJGC_04297,-
group_3150,PCKCKJGC_04298,+
group_3151,PCKCKJGC_04305,+
group_3152,PCKCKJGC_04310,+
degV,PCKCKJGC_04311,+
yceI_2,PCKCKJGC_04315,+
group_3156,PCKCKJGC_04316,+
hemW,PCKCKJGC_04322,+
group_3158,PCKCKJGC_04323,-
group_3159,PCKCKJGC_04324,-
group_316,PCKCKJGC_01633,-
rsmE,PCKCKJGC_04328,+
group_3161,PCKCKJGC_04331,+
rnz,PCKCKJGC_04332,+
group_3163,PCKCKJGC_04333,-
group_3164,PCKCKJGC_04334,+
oleD,PCKCKJGC_04338,+
group_3166,PCKCKJGC_04339,-
group_3167,PCKCKJGC_04340,+
group_3168,PCKCKJGC_04341,-
licH_2,PCKCKJGC_04342,-
group_317,PCKCKJGC_01634,-
group_3170,PCKCKJGC_04344,+
group_3171,PCKCKJGC_04346,+
yjbR,PCKCKJGC_04349,+
group_3173,PCKCKJGC_04350,+
group_3174,PCKCKJGC_04352,-
prtS,PCKCKJGC_04353,-
group_3176,PCKCKJGC_04355,+
group_3177,PCKCKJGC_04357,+
zur,PCKCKJGC_04358,-
btuD_21,PCKCKJGC_04360,-
nhaK_1,PCKCKJGC_01663,-
znuA,PCKCKJGC_04361,-
group_3181,PCKCKJGC_04365,+
group_3182,PCKCKJGC_04367,+
group_3183,PCKCKJGC_04368,+
group_3184,PCKCKJGC_04375,+
group_3185,PCKCKJGC_04376,+
group_3186,PCKCKJGC_04378,-
cutA,PCKCKJGC_04384,+
ureD_1,PCKCKJGC_04386,-
ureG_1,PCKCKJGC_04387,-
ureF_1,PCKCKJGC_04388,-
ureC_2,PCKCKJGC_04389,-
ureB_1,PCKCKJGC_04390,-
ybjJ_4,PCKCKJGC_04392,-
tam_7,PCKCKJGC_04393,-
group_3196,PCKCKJGC_04411,+
group_3197,PCKCKJGC_04415,+
hrdA,PCKCKJGC_04416,-
group_3199,PCKCKJGC_04421,-
yedK,PCKCKJGC_01688,-
dgt,PCKCKJGC_04426,-
group_3201,PCKCKJGC_04427,+
fgd1,PCKCKJGC_04429,+
ligD_2,PCKCKJGC_04430,+
katE,PCKCKJGC_04431,+
group_3206,PCKCKJGC_04432,+
group_3207,PCKCKJGC_04434,-
yghA,PCKCKJGC_04435,-
group_3209,PCKCKJGC_04436,-
group_3210,PCKCKJGC_04437,-
prmC_5,PCKCKJGC_04438,-
group_3213,PCKCKJGC_04440,-
mreB_2,PCKCKJGC_04441,-
entS_5,PCKCKJGC_04442,+
group_3218,PCKCKJGC_04445,-
cysZ,PCKCKJGC_04448,+
ubiB,PCKCKJGC_01713,+
group_3220,PCKCKJGC_04449,-
nagZ_4,PCKCKJGC_04450,+
acpM,PCKCKJGC_04455,-
fabD,PCKCKJGC_04457,-
group_3224,PCKCKJGC_04464,-
group_3225,PCKCKJGC_04467,-
group_3226,PCKCKJGC_04468,-
group_3227,PCKCKJGC_04469,-
group_3228,PCKCKJGC_04470,+
group_3229,PCKCKJGC_04476,+
group_323,PCKCKJGC_01725,+
group_3230,PCKCKJGC_04478,-
group_3231,PCKCKJGC_04480,+
group_3232,PCKCKJGC_04481,+
group_3233,PCKCKJGC_04483,-
group_3234,PCKCKJGC_04485,-
group_3235,PCKCKJGC_04487,-
group_3236,PCKCKJGC_04488,-
group_3237,PCKCKJGC_04489,+
group_3238,PCKCKJGC_04491,-
hxpA,PCKCKJGC_04494,+
group_3240,PCKCKJGC_04495,-
mdtD_4,PCKCKJGC_04496,+
group_3242,PCKCKJGC_04499,+
group_3243,PCKCKJGC_04502,-
group_3244,PCKCKJGC_04504,-
group_3245,PCKCKJGC_04506,-
mshA_3,PCKCKJGC_04507,+
group_3247,PCKCKJGC_04509,+
uctC_2,PCKCKJGC_04514,+
stp_4,PCKCKJGC_04517,+
caeB,PCKCKJGC_01727,+
group_3254,PCKCKJGC_04523,-
group_3255,PCKCKJGC_04525,+
group_3256,PCKCKJGC_04526,+
group_3257,PCKCKJGC_04527,-
eda,PCKCKJGC_04528,-
group_3259,PCKCKJGC_04529,-
mshA_1,PCKCKJGC_01732,-
group_3261,PCKCKJGC_04531,-
group_3262,PCKCKJGC_04532,+
group_3263,PCKCKJGC_04533,+
yodB,PCKCKJGC_04534,+
acg,PCKCKJGC_04535,+
group_3266,PCKCKJGC_04536,+
acsA_3,PCKCKJGC_04537,-
group_3268,PCKCKJGC_04540,-
hcaB_3,PCKCKJGC_04541,-
degP,PCKCKJGC_01760,-
group_3270,PCKCKJGC_04547,+
group_3271,PCKCKJGC_04550,+
group_3272,PCKCKJGC_04551,-
hmuV,PCKCKJGC_04552,-
btuC_3,PCKCKJGC_04553,-
btuF_3,PCKCKJGC_04554,-
group_3276,PCKCKJGC_04555,+
group_3277,PCKCKJGC_04557,+
group_3278,PCKCKJGC_04562,+
rip2,PCKCKJGC_04563,-
group_328,PCKCKJGC_01807,-
mmcO,PCKCKJGC_04568,-
group_3281,PCKCKJGC_04570,-
group_3282,PCKCKJGC_04571,-
nfdA_1,PCKCKJGC_04582,+
group_3284,PCKCKJGC_04583,-
dasA_3,PCKCKJGC_04586,+
cytR_4,PCKCKJGC_04590,+
aml,PCKCKJGC_04591,+
pulA,PCKCKJGC_04592,+
group_329,PCKCKJGC_01857,+
ophA1,PCKCKJGC_04595,-
group_3293,PCKCKJGC_04596,-
group_3294,PCKCKJGC_04600,-
group_3295,PCKCKJGC_04601,-
group_3296,PCKCKJGC_04604,-
group_3297,PCKCKJGC_04605,+
yfgD,PCKCKJGC_04606,-
mutA,PCKCKJGC_04611,-
group_33,PCKCKJGC_03377,-
group_330,PCKCKJGC_01865,+
cobK,PCKCKJGC_04615,-
ywiE,PCKCKJGC_04620,-
ppk2B,PCKCKJGC_04621,+
group_3303,PCKCKJGC_04625,+
lipA,PCKCKJGC_04633,-
group_3305,PCKCKJGC_04637,+
group_3306,PCKCKJGC_04638,+
group_3307,PCKCKJGC_04639,+
pldh-t,PCKCKJGC_04641,+
group_3309,PCKCKJGC_04642,-
btuD_10,PCKCKJGC_01915,-
pepA,PCKCKJGC_04648,-
group_3311,PCKCKJGC_04650,+
cobT_1,PCKCKJGC_04651,-
group_3313,PCKCKJGC_04652,+
group_3314,PCKCKJGC_04653,-
cmoM_2,PCKCKJGC_04655,-
group_3316,PCKCKJGC_04658,+
vraR_4,PCKCKJGC_04661,+
swrC,PCKCKJGC_04662,+
group_3319,PCKCKJGC_04665,-
ctaF,PCKCKJGC_04672,+
garK_2,PCKCKJGC_04682,-
group_3322,PCKCKJGC_04683,-
group_3323,PCKCKJGC_04688,-
group_3324,PCKCKJGC_04692,+
group_3325,PCKCKJGC_04697,+
group_3326,PCKCKJGC_04698,+
group_3327,PCKCKJGC_04703,+
group_3328,PCKCKJGC_04704,-
group_3329,PCKCKJGC_04707,+
group_333,PCKCKJGC_01920,-
degU_7,PCKCKJGC_04708,+
ldhA,PCKCKJGC_04709,+
menF_1,PCKCKJGC_04710,-
group_3333,PCKCKJGC_04712,+
yedY1,PCKCKJGC_04714,+
hcnC,PCKCKJGC_04719,-
thcD,PCKCKJGC_04720,+
group_3337,PCKCKJGC_04721,+
thiE,PCKCKJGC_04722,+
group_3339,PCKCKJGC_04724,+
crtNb,PCKCKJGC_04725,-
group_3341,PCKCKJGC_04727,-
group_3342,PCKCKJGC_04732,-
group_3343,PCKCKJGC_04745,+
group_3344,PCKCKJGC_04746,+
ileS,PCKCKJGC_04750,-
group_3346,PCKCKJGC_04756,+
group_3347,PCKCKJGC_04762,-
group_3348,PCKCKJGC_04765,+
group_3349,PCKCKJGC_04766,+
group_335,PCKCKJGC_01945,-
priA_1,PCKCKJGC_04776,+
group_3351,PCKCKJGC_04779,-
hisI,PCKCKJGC_04781,+
group_3353,PCKCKJGC_04782,-
group_3354,PCKCKJGC_04785,+
group_3355,PCKCKJGC_04786,+
group_3356,PCKCKJGC_04790,+
lgt,PCKCKJGC_04791,+
mcl2,PCKCKJGC_04792,-
rbsK_2,PCKCKJGC_04794,-
group_3360,PCKCKJGC_04795,-
group_3361,PCKCKJGC_04796,-
group_3362,PCKCKJGC_04797,-
group_3363,PCKCKJGC_04798,-
group_3364,PCKCKJGC_04799,+
group_3365,PCKCKJGC_04802,-
group_3366,PCKCKJGC_04805,-
group_3367,PCKCKJGC_04807,-
group_3369,PCKCKJGC_04809,+
iucD_2,PCKCKJGC_04812,+
cpdB,PCKCKJGC_04813,-
group_3372,PCKCKJGC_04815,-
group_3373,PCKCKJGC_04827,+
hrpB,PCKCKJGC_04829,-
group_3375,PCKCKJGC_04832,-
coaE,PCKCKJGC_04834,+
group_3377,PCKCKJGC_04835,+
group_3379,PCKCKJGC_04838,+
ydaF_1,PCKCKJGC_01981,+
group_3380,PCKCKJGC_04839,-
group_3381,PCKCKJGC_04841,-
group_3382,PCKCKJGC_04845,-
group_3383,PCKCKJGC_04846,+
group_3384,PCKCKJGC_04847,+
rfnT,PCKCKJGC_04848,-
ogt_3,PCKCKJGC_04849,-
glpQ_2,PCKCKJGC_04850,-
uvrB,PCKCKJGC_04852,+
aroQ,PCKCKJGC_04856,+
group_339,PCKCKJGC_01991,+
gloC,PCKCKJGC_04857,-
group_3391,PCKCKJGC_04860,+
group_3392,PCKCKJGC_04861,+
group_3393,PCKCKJGC_04879,+
ctaA,PCKCKJGC_04880,-
group_3395,PCKCKJGC_04881,-
group_3396,PCKCKJGC_04883,+
group_3397,PCKCKJGC_04892,-
group_3398,PCKCKJGC_04893,+
group_3399,PCKCKJGC_04895,-
group_34,PCKCKJGC_03215,+
degU_8,PCKCKJGC_04898,-
group_3401,PCKCKJGC_04899,-
group_3402,PCKCKJGC_04900,-
aldH,PCKCKJGC_04901,+
nicR,PCKCKJGC_04904,-
nemA,PCKCKJGC_04905,+
group_3406,PCKCKJGC_04912,+
group_3407,PCKCKJGC_04913,+
group_3408,PCKCKJGC_04914,-
group_3409,PCKCKJGC_04915,-
group_341,PCKCKJGC_02018,-
cobB_3,PCKCKJGC_04916,-
group_3411,PCKCKJGC_04918,-
cobQ,PCKCKJGC_04919,-
cobD,PCKCKJGC_04920,-
group_3414,PCKCKJGC_04921,-
drdA,PCKCKJGC_04923,+
group_3416,PCKCKJGC_04924,+
group_3418,PCKCKJGC_04927,-
group_3419,PCKCKJGC_04934,+
group_342,PCKCKJGC_02026,-
group_3420,PCKCKJGC_04937,+
group_3421,PCKCKJGC_04940,-
group_3422,PCKCKJGC_04942,+
group_3423,PCKCKJGC_04943,+
group_3424,PCKCKJGC_04944,-
frc,PCKCKJGC_04946,-
group_3426,PCKCKJGC_04947,-
hutI_2,PCKCKJGC_04953,-
group_3428,PCKCKJGC_04955,-
group_3429,PCKCKJGC_04956,+
group_3430,PCKCKJGC_04960,+
yycB,PCKCKJGC_04962,+
group_3432,PCKCKJGC_04964,+
ydaD_2,PCKCKJGC_04970,-
group_3434,PCKCKJGC_04976,+
group_3435,PCKCKJGC_04981,+
group_3436,PCKCKJGC_04986,+
group_3437,PCKCKJGC_04987,-
group_3438,PCKCKJGC_04988,+
group_3439,PCKCKJGC_04989,-
phrB_2,PCKCKJGC_02034,+
ppnK,PCKCKJGC_04992,+
group_3441,PCKCKJGC_04995,+
kanE,PCKCKJGC_04996,+
pucR,PCKCKJGC_04997,-
group_3444,PCKCKJGC_05001,+
