"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","albidoflavus_J1074","albidoflavus_J1074_R2","albidoflavus_SM254","albidoflavus_UYFA156","albidoflavus_W68"
"group_506","","hypothetical protein","3","3","1","1","649","69","2","","599","599","599","albidoflavus_J1074_00255","albidoflavus_J1074_R2_00256","albidoflavus_SM254_00268","",""
"group_507","","hypothetical protein","3","3","1","1","648","69","1","","560","560","560","albidoflavus_J1074_00256","albidoflavus_J1074_R2_00257","albidoflavus_SM254_00269","",""
"group_511","","IS5 family transposase IS1647","3","3","1","1","605","51","50","","497","497","497","albidoflavus_J1074_00264","albidoflavus_J1074_R2_00266","albidoflavus_SM254_00030","",""
"group_512","","IS5 family transposase IS1647","3","3","1","1","634","51","79","","359","359","359","albidoflavus_J1074_00265","albidoflavus_J1074_R2_00267","albidoflavus_SM254_00029","",""
"group_515","","hypothetical protein","3","3","1","1","503","53","41","","1448","1451","1450","albidoflavus_J1074_00288","albidoflavus_J1074_R2_00364","albidoflavus_SM254_00293","",""
"group_516","","hypothetical protein","3","3","1","1","502","53","40","","1055","1055","1055","albidoflavus_J1074_00289","albidoflavus_J1074_R2_00365","albidoflavus_SM254_00294","",""
"gpt","","Xanthine phosphoribosyltransferase","3","3","1","1","501","53","39","","497","497","497","albidoflavus_J1074_00290","albidoflavus_J1074_R2_00366","albidoflavus_SM254_00295","",""
"ydhP","","Inner membrane transport protein YdhP","3","3","1","1","496","53","30","","1244","1244","1244","albidoflavus_J1074_00297","albidoflavus_J1074_R2_00373","albidoflavus_SM254_00301","",""
"group_523","","hypothetical protein","3","3","1","1","495","53","29","","461","461","461","albidoflavus_J1074_00298","albidoflavus_J1074_R2_00374","albidoflavus_SM254_00302","",""
"group_524","","hypothetical protein","3","3","1","1","494","53","28","","353","353","353","albidoflavus_J1074_00299","albidoflavus_J1074_R2_00375","albidoflavus_SM254_00303","",""
"group_525","","hypothetical protein","3","3","1","1","491","53","25","","800","800","800","albidoflavus_J1074_00302","albidoflavus_J1074_R2_00378","albidoflavus_SM254_00306","",""
"drrA_1","","Daunorubicin/doxorubicin resistance ATP-binding protein DrrA","3","3","1","1","490","53","24","","1022","1022","1022","albidoflavus_J1074_00303","albidoflavus_J1074_R2_00379","albidoflavus_SM254_00307","",""
"mbtH_2","","Protein MbtH","3","3","1","1","489","53","23","","209","209","209","albidoflavus_J1074_00304","albidoflavus_J1074_R2_00380","albidoflavus_SM254_00308","",""
"tycC","","Tyrocidine synthase 3","3","3","1","1","488","53","22","","10289","10289","10289","albidoflavus_J1074_00305","albidoflavus_J1074_R2_00381","albidoflavus_SM254_00309","",""
"group_529","","hypothetical protein","3","3","1","1","487","53","21","","263","263","263","albidoflavus_J1074_00306","albidoflavus_J1074_R2_00382","albidoflavus_SM254_00310","",""
"group_530","","hypothetical protein","3","3","1","1","486","53","20","","398","398","398","albidoflavus_J1074_00307","albidoflavus_J1074_R2_00383","albidoflavus_SM254_00311","",""
"group_531","","hypothetical protein","3","3","1","1","485","53","19","","353","353","353","albidoflavus_J1074_00308","albidoflavus_J1074_R2_00384","albidoflavus_SM254_00312","",""
"group_532","","hypothetical protein","3","3","1","1","484","53","18","","365","365","365","albidoflavus_J1074_00309","albidoflavus_J1074_R2_00385","albidoflavus_SM254_00313","",""
"group_533","","hypothetical protein","3","3","1","1","483","53","17","","1226","1226","1226","albidoflavus_J1074_00310","albidoflavus_J1074_R2_00386","albidoflavus_SM254_00314","",""
"group_534","","hypothetical protein","3","3","1","1","482","53","16","","689","689","689","albidoflavus_J1074_00311","albidoflavus_J1074_R2_00387","albidoflavus_SM254_00315","",""
"yfiZ_2","","putative siderophore transport system permease protein YfiZ","3","3","1","1","481","53","15","","1154","1154","1154","albidoflavus_J1074_00312","albidoflavus_J1074_R2_00388","albidoflavus_SM254_00316","",""
"yfhA_2","","putative siderophore transport system permease protein YfhA","3","3","1","1","480","53","14","","1118","1118","1118","albidoflavus_J1074_00313","albidoflavus_J1074_R2_00389","albidoflavus_SM254_00317","",""
"fepC_2","","Ferric enterobactin transport ATP-binding protein FepC","3","3","1","1","479","53","13","","797","797","797","albidoflavus_J1074_00314","albidoflavus_J1074_R2_00390","albidoflavus_SM254_00318","",""
"group_540","","hypothetical protein","3","3","1","1","457","75","1","","611","611","611","albidoflavus_J1074_00334","albidoflavus_J1074_R2_00410","albidoflavus_SM254_00344","",""
"group_541","","hypothetical protein","3","3","1","1","172","54","8","","476","476","476","albidoflavus_J1074_00362","albidoflavus_J1074_R2_00438","albidoflavus_SM254_00372","",""
"group_542","","hypothetical protein","3","3","1","1","171","54","9","","422","422","422","albidoflavus_J1074_00363","albidoflavus_J1074_R2_00439","albidoflavus_SM254_00373","",""
"sdhB","","Succinate dehydrogenase iron-sulfur subunit","3","3","1","1","170","54","10","","758","758","758","albidoflavus_J1074_00364","albidoflavus_J1074_R2_00440","albidoflavus_SM254_00374","",""
"sdhA","","Succinate dehydrogenase flavoprotein subunit","3","3","1","1","169","54","11","","1754","1754","1754","albidoflavus_J1074_00365","albidoflavus_J1074_R2_00441","albidoflavus_SM254_00375","",""
"group_545","","hypothetical protein","3","3","1","1","168","54","12","","476","476","476","albidoflavus_J1074_00366","albidoflavus_J1074_R2_00442","albidoflavus_SM254_00376","",""
"sdhC","","Succinate dehydrogenase 2 membrane subunit SdhC","3","3","1","1","167","54","13","","380","380","380","albidoflavus_J1074_00367","albidoflavus_J1074_R2_00443","albidoflavus_SM254_00377","",""
"group_547","","hypothetical protein","3","3","1","1","166","54","14","","692","692","692","albidoflavus_J1074_00368","albidoflavus_J1074_R2_00444","albidoflavus_SM254_00378","",""
"group_548","","hypothetical protein","3","3","1","1","165","54","15","","1691","1691","1691","albidoflavus_J1074_00369","albidoflavus_J1074_R2_00445","albidoflavus_SM254_00379","",""
"group_550","","hypothetical protein","3","3","1","1","163","54","17","","506","506","506","albidoflavus_J1074_00371","albidoflavus_J1074_R2_00447","albidoflavus_SM254_00381","",""
"group_551","","hypothetical protein","3","3","1","1","162","54","18","","1097","1097","1097","albidoflavus_J1074_00372","albidoflavus_J1074_R2_00448","albidoflavus_SM254_00382","",""
"group_552","","putative protein","3","3","1","1","161","54","19","","989","989","989","albidoflavus_J1074_00373","albidoflavus_J1074_R2_00449","albidoflavus_SM254_00383","",""
"group_553","","hypothetical protein","3","3","1","1","160","54","20","","974","974","974","albidoflavus_J1074_00374","albidoflavus_J1074_R2_00450","albidoflavus_SM254_00384","",""
"tuaG","","Putative teichuronic acid biosynthesis glycosyltransferase TuaG","3","3","1","1","159","54","21","","773","773","773","albidoflavus_J1074_00375","albidoflavus_J1074_R2_00451","albidoflavus_SM254_00385","",""
"group_555","","hypothetical protein","3","3","1","1","158","54","22","","665","665","665","albidoflavus_J1074_00376","albidoflavus_J1074_R2_00452","albidoflavus_SM254_00386","",""
"group_556","","hypothetical protein","3","3","1","1","156","54","24","","701","701","701","albidoflavus_J1074_00378","albidoflavus_J1074_R2_00454","albidoflavus_SM254_00388","",""
"group_557","","hypothetical protein","3","3","1","1","155","54","25","","1277","1277","1277","albidoflavus_J1074_00379","albidoflavus_J1074_R2_00455","albidoflavus_SM254_00389","",""
"ddaF","","Dapdiamide A synthase","3","3","1","1","154","54","26","","1304","1304","1304","albidoflavus_J1074_00380","albidoflavus_J1074_R2_00456","albidoflavus_SM254_00390","",""
"group_559","","putative oxidoreductase","3","3","1","1","153","54","27","","758","758","758","albidoflavus_J1074_00381","albidoflavus_J1074_R2_00457","albidoflavus_SM254_00391","",""
"group_560","dltA_4","D-alanine--D-alanyl carrier protein ligase","3","3","1","1","152","54","28","","4349","4349","4349","albidoflavus_J1074_00382","albidoflavus_J1074_R2_00458","albidoflavus_SM254_00392","",""
"group_561","","hypothetical protein","3","3","1","1","151","54","29","","809","809","809","albidoflavus_J1074_00383","albidoflavus_J1074_R2_00459","albidoflavus_SM254_00393","",""
"group_562","","hypothetical protein","3","3","1","1","150","54","30","","1112","1112","1112","albidoflavus_J1074_00384","albidoflavus_J1074_R2_00460","albidoflavus_SM254_00394","",""
"group_563","","hypothetical protein","3","3","1","1","149","54","31","","1250","1250","1250","albidoflavus_J1074_00385","albidoflavus_J1074_R2_00461","albidoflavus_SM254_00395","",""
"group_564","","3-sulfolactaldehyde reductase","3","3","1","1","148","54","32","","896","896","896","albidoflavus_J1074_00386","albidoflavus_J1074_R2_00462","albidoflavus_SM254_00396","",""
"group_565","","hypothetical protein","3","3","1","1","147","54","33","","617","617","617","albidoflavus_J1074_00387","albidoflavus_J1074_R2_00463","albidoflavus_SM254_00397","",""
"leuE","","Leucine efflux protein","3","3","1","1","146","54","34","","656","656","656","albidoflavus_J1074_00388","albidoflavus_J1074_R2_00464","albidoflavus_SM254_00398","",""
"group_567","","hypothetical protein","3","3","1","1","145","54","35","","1427","1427","1427","albidoflavus_J1074_00389","albidoflavus_J1074_R2_00465","albidoflavus_SM254_00399","",""
"group_569","","hypothetical protein","3","3","1","1","174","54","37","","1364","1364","1364","albidoflavus_J1074_00391","albidoflavus_J1074_R2_00467","albidoflavus_SM254_00400","",""
"kdsB","","8-amino-3,8-dideoxy-manno-octulosonate cytidylyltransferase","3","3","1","1","175","54","38","","1220","1220","1220","albidoflavus_J1074_00392","albidoflavus_J1074_R2_00468","albidoflavus_SM254_00401","",""
"legI","","N,N'-diacetyllegionaminic acid synthase","3","3","1","1","176","54","39","","944","944","944","albidoflavus_J1074_00393","albidoflavus_J1074_R2_00469","albidoflavus_SM254_00402","",""
"group_572","","hypothetical protein","3","3","1","1","177","54","40","","1148","1148","1148","albidoflavus_J1074_00394","albidoflavus_J1074_R2_00470","albidoflavus_SM254_00403","",""
"scmP","","N-acetylcysteine deacetylase","3","3","1","1","178","54","41","","1319","1319","1319","albidoflavus_J1074_00395","albidoflavus_J1074_R2_00471","albidoflavus_SM254_00404","",""
"group_574","","hypothetical protein","3","3","1","1","180","54","4","","131","131","131","albidoflavus_J1074_00397","albidoflavus_J1074_R2_00473","albidoflavus_SM254_00406","",""
"group_575","","hypothetical protein","3","3","1","1","183","54","1","","959","959","959","albidoflavus_J1074_00400","albidoflavus_J1074_R2_00476","albidoflavus_SM254_00409","",""
"group_577","","hypothetical protein","3","3","1","1","404","52","2","","752","752","752","albidoflavus_J1074_00422","albidoflavus_J1074_R2_00498","albidoflavus_SM254_00432","",""
"gloB","","Hydroxyacylglutathione hydrolase","3","3","1","1","403","52","3","","1346","1346","1346","albidoflavus_J1074_00423","albidoflavus_J1074_R2_00499","albidoflavus_SM254_00433","",""
"group_579","","hypothetical protein","3","3","1","1","402","52","4","","695","695","695","albidoflavus_J1074_00424","albidoflavus_J1074_R2_00500","albidoflavus_SM254_00434","",""
"group_58","","hypothetical protein","3","3","1","1","701","77","1","","122","266","212","","albidoflavus_J1074_R2_00208","albidoflavus_SM254_00221","albidoflavus_UYFA156_00426",""
"group_580","","hypothetical protein","3","3","1","1","401","52","5","","1202","1202","1202","albidoflavus_J1074_00425","albidoflavus_J1074_R2_00501","albidoflavus_SM254_00435","",""
"sasA","","Adaptive-response sensory-kinase SasA","3","3","1","1","400","52","6","","1643","1643","1643","albidoflavus_J1074_00426","albidoflavus_J1074_R2_00502","albidoflavus_SM254_00436","",""
"rcp1","","Response regulator rcp1","3","3","1","1","399","52","7","","443","443","443","albidoflavus_J1074_00427","albidoflavus_J1074_R2_00503","albidoflavus_SM254_00437","",""
"group_583","","hypothetical protein","3","3","1","1","398","52","8","","467","467","467","albidoflavus_J1074_00428","albidoflavus_J1074_R2_00504","albidoflavus_SM254_00438","",""
"group_584","","hypothetical protein","3","3","1","1","397","52","9","","389","389","389","albidoflavus_J1074_00429","albidoflavus_J1074_R2_00505","albidoflavus_SM254_00439","",""
"group_585","","hypothetical protein","3","3","1","1","396","52","10","","920","920","920","albidoflavus_J1074_00430","albidoflavus_J1074_R2_00506","albidoflavus_SM254_00440","",""
"group_586","","putative oxidoreductase/MSMEI_2347","3","3","1","1","395","52","11","","842","842","842","albidoflavus_J1074_00431","albidoflavus_J1074_R2_00507","albidoflavus_SM254_00441","",""
"group_587","","hypothetical protein","3","3","1","1","394","52","12","","788","788","788","albidoflavus_J1074_00432","albidoflavus_J1074_R2_00508","albidoflavus_SM254_00442","",""
"sigJ","","ECF RNA polymerase sigma factor SigJ","3","3","1","1","393","52","13","","914","914","914","albidoflavus_J1074_00433","albidoflavus_J1074_R2_00509","albidoflavus_SM254_00443","",""
"group_589","","hypothetical protein","3","3","1","1","392","52","14","","485","485","485","albidoflavus_J1074_00434","albidoflavus_J1074_R2_00510","albidoflavus_SM254_00444","",""
"group_590","","putative ABC transporter ATP-binding protein","3","3","1","1","391","52","15","","1883","1883","1883","albidoflavus_J1074_00435","albidoflavus_J1074_R2_00511","albidoflavus_SM254_00445","",""
"group_591","","hypothetical protein","3","3","1","1","390","52","45","","365","365","365","albidoflavus_J1074_00436","albidoflavus_J1074_R2_00512","albidoflavus_SM254_00446","",""
"group_592","","hypothetical protein","3","3","1","1","389","52","44","","656","656","656","albidoflavus_J1074_00437","albidoflavus_J1074_R2_00513","albidoflavus_SM254_00447","",""
"group_594","","hypothetical protein","3","3","1","1","387","52","42","","1043","1043","1043","albidoflavus_J1074_00440","albidoflavus_J1074_R2_00516","albidoflavus_SM254_00449","",""
"ppaX","","Pyrophosphatase PpaX","3","3","1","1","386","52","41","","662","662","662","albidoflavus_J1074_00441","albidoflavus_J1074_R2_00517","albidoflavus_SM254_00450","",""
"group_596","dltA_5","D-alanine--D-alanyl carrier protein ligase","3","3","1","1","385","52","40","","3830","3830","3830","albidoflavus_J1074_00442","albidoflavus_J1074_R2_00518","albidoflavus_SM254_00451","",""
"pptA","","Tautomerase PptA","3","3","1","1","384","52","39","","254","254","254","albidoflavus_J1074_00443","albidoflavus_J1074_R2_00519","albidoflavus_SM254_00452","",""
"psuG","","Pseudouridine-5'-phosphate glycosidase","3","3","1","1","383","52","38","","941","941","941","albidoflavus_J1074_00444","albidoflavus_J1074_R2_00520","albidoflavus_SM254_00453","",""
"gndA","","6-phosphogluconate dehydrogenase, NADP(+)-dependent, decarboxylating","3","3","1","1","382","52","37","","1457","1457","1457","albidoflavus_J1074_00445","albidoflavus_J1074_R2_00521","albidoflavus_SM254_00454","",""
"group_600","","hypothetical protein","3","3","1","1","380","52","36","","911","911","911","albidoflavus_J1074_00447","albidoflavus_J1074_R2_00523","albidoflavus_SM254_00456","",""
"group_601","","hypothetical protein","3","3","1","1","379","52","35","","1460","1460","1460","albidoflavus_J1074_00448","albidoflavus_J1074_R2_00524","albidoflavus_SM254_00457","",""
"group_602","","hypothetical protein","3","3","1","1","378","52","34","","245","245","245","albidoflavus_J1074_00449","albidoflavus_J1074_R2_00525","albidoflavus_SM254_00458","",""
"group_603","","hypothetical protein","3","3","1","1","377","52","33","","1430","1430","1430","albidoflavus_J1074_00450","albidoflavus_J1074_R2_00526","albidoflavus_SM254_00459","",""
"group_604","","hypothetical protein","3","3","1","1","376","52","32","","2069","2069","2069","albidoflavus_J1074_00451","albidoflavus_J1074_R2_00527","albidoflavus_SM254_00460","",""
"mutM","","Formamidopyrimidine-DNA glycosylase","3","3","1","1","375","52","31","","860","860","860","albidoflavus_J1074_00452","albidoflavus_J1074_R2_00528","albidoflavus_SM254_00461","",""
"ypdB","","Transcriptional regulatory protein YpdB","3","3","1","1","374","52","30","","764","764","764","albidoflavus_J1074_00453","albidoflavus_J1074_R2_00529","albidoflavus_SM254_00462","",""
"actP","","Cation/acetate symporter ActP","3","3","1","1","372","52","28","","1583","1583","1583","albidoflavus_J1074_00455","albidoflavus_J1074_R2_00531","albidoflavus_SM254_00464","",""
"btsS","","Sensor histidine kinase BtsS","3","3","1","1","371","52","27","","1202","1202","1202","albidoflavus_J1074_00456","albidoflavus_J1074_R2_00532","albidoflavus_SM254_00465","",""
"group_609","","hypothetical protein","3","3","1","1","370","52","26","","488","488","488","albidoflavus_J1074_00457","albidoflavus_J1074_R2_00533","albidoflavus_SM254_00466","",""
"group_610","","hypothetical protein","3","3","1","1","369","52","25","","644","644","644","albidoflavus_J1074_00458","albidoflavus_J1074_R2_00534","albidoflavus_SM254_00467","",""
"group_611","","hypothetical protein","3","3","1","1","368","52","24","","503","503","503","albidoflavus_J1074_00459","albidoflavus_J1074_R2_00535","albidoflavus_SM254_00468","",""
"group_612","","hypothetical protein","3","3","1","1","367","52","23","","590","590","590","albidoflavus_J1074_00460","albidoflavus_J1074_R2_00536","albidoflavus_SM254_00469","",""
"group_613","","hypothetical protein","3","3","1","1","366","52","22","","413","413","413","albidoflavus_J1074_00461","albidoflavus_J1074_R2_00537","albidoflavus_SM254_00470","",""
"group_614","","hypothetical protein","3","3","1","1","364","52","20","","482","482","482","albidoflavus_J1074_00463","albidoflavus_J1074_R2_00539","albidoflavus_SM254_00472","",""
"trxC","","Putative thioredoxin 2","3","3","1","1","363","52","19","","398","398","398","albidoflavus_J1074_00464","albidoflavus_J1074_R2_00540","albidoflavus_SM254_00473","",""
"merA","","Mercuric reductase","3","3","1","1","362","52","18","","1460","1460","1460","albidoflavus_J1074_00465","albidoflavus_J1074_R2_00541","albidoflavus_SM254_00474","",""
"group_617","","hypothetical protein","3","3","1","1","351","64","2","","653","653","653","albidoflavus_J1074_00476","albidoflavus_J1074_R2_00552","albidoflavus_SM254_00485","",""
"srlR_2","","Glucitol operon repressor","3","3","1","1","324","60","6","","794","794","794","albidoflavus_J1074_00498","albidoflavus_J1074_R2_00573","albidoflavus_SM254_00505","",""
"gntT","","High-affinity gluconate transporter","3","3","1","1","323","60","8","","1358","1358","1358","albidoflavus_J1074_00499","albidoflavus_J1074_R2_00574","albidoflavus_SM254_00506","",""
"group_623","","hypothetical protein","3","3","1","1","322","60","7","","1403","1403","1403","albidoflavus_J1074_00500","albidoflavus_J1074_R2_00575","albidoflavus_SM254_00507","",""
"group_624","","hypothetical protein","3","3","1","1","317","59","8","","932","932","932","albidoflavus_J1074_00505","albidoflavus_J1074_R2_00580","albidoflavus_SM254_00512","",""
"sgrR","","HTH-type transcriptional regulator SgrR","3","3","1","1","316","59","7","","1568","1574","1572","albidoflavus_J1074_00506","albidoflavus_J1074_R2_00581","albidoflavus_SM254_00513","",""
"gsiC_1","","Glutathione transport system permease protein GsiC","3","3","1","1","315","59","6","","1025","1025","1025","albidoflavus_J1074_00507","albidoflavus_J1074_R2_00582","albidoflavus_SM254_00514","",""
"ddpC","","putative D,D-dipeptide transport system permease protein DdpC","3","3","1","1","314","59","5","","890","890","890","albidoflavus_J1074_00508","albidoflavus_J1074_R2_00583","albidoflavus_SM254_00515","",""
"cntD","","Metal-staphylopine import system ATP-binding protein CntD","3","3","1","1","313","59","4","","899","899","899","albidoflavus_J1074_00509","albidoflavus_J1074_R2_00584","albidoflavus_SM254_00516","",""
"gsiA","","Glutathione import ATP-binding protein GsiA","3","3","1","1","312","59","3","","872","872","872","albidoflavus_J1074_00510","albidoflavus_J1074_R2_00585","albidoflavus_SM254_00517","",""
"moxC","","Putative monooxygenase MoxC","3","3","1","1","311","59","2","","1340","1340","1340","albidoflavus_J1074_00511","albidoflavus_J1074_R2_00586","albidoflavus_SM254_00518","",""
"ygcS","","Inner membrane metabolite transport protein YgcS","3","3","1","1","280","63","1","","1448","1448","1448","albidoflavus_J1074_00539","albidoflavus_J1074_R2_00614","albidoflavus_SM254_00545","",""
"group_633","","hypothetical protein","3","3","1","1","921","78","1","","494","494","494","albidoflavus_J1074_00614","albidoflavus_J1074_R2_00689","albidoflavus_SM254_00621","",""
"htpG","","Chaperone protein HtpG","3","3","1","1","887","51","26","","1850","1850","1850","","","albidoflavus_SM254_00054","albidoflavus_UYFA156_00567","albidoflavus_W68_00497"
"group_752","","hypothetical protein","3","3","1","1","901","51","12","","272","272","272","","","albidoflavus_SM254_00067","albidoflavus_UYFA156_00556","albidoflavus_W68_00484"
"mmgB","","putative 3-hydroxybutyryl-CoA dehydrogenase","3","3","1","1","904","51","9","","881","881","881","","","albidoflavus_SM254_00070","albidoflavus_UYFA156_00553","albidoflavus_W68_00481"
"lgrD_1","","Linear gramicidin synthase subunit D","3","3","1","1","750","55","19","","10238","10241","10239","albidoflavus_J1074_00167","albidoflavus_J1074_R2_00167","albidoflavus_SM254_00182","",""
"group_892","","hypothetical protein","3","3","1","1","861","2","11","","1931","1937","1935","","","albidoflavus_SM254_00094","albidoflavus_UYFA156_00525","albidoflavus_W68_00456"
"group_907","","hypothetical protein","3","3","1","1","998","65","2","","374","374","374","albidoflavus_J1074_00011","albidoflavus_J1074_R2_00011","albidoflavus_SM254_00638","",""
"group_910","","hypothetical protein","3","3","1","1","999","65","1","","491","491","491","albidoflavus_J1074_00012","albidoflavus_J1074_R2_00012","albidoflavus_SM254_00637","",""
"group_916","","hypothetical protein","3","3","1","1","1003","57","9","","308","308","308","albidoflavus_J1074_00016","albidoflavus_J1074_R2_00016","albidoflavus_SM254_00633","",""
"group_941","","hypothetical protein","3","3","1","1","930","57","1","","6110","6128","6122","albidoflavus_J1074_00622","albidoflavus_J1074_R2_00697","albidoflavus_SM254_00630","",""
"pikAV_1","","Thioesterase PikA5","3","3","1","1","1001","57","7","","842","842","842","albidoflavus_J1074_00014","albidoflavus_J1074_R2_00014","albidoflavus_SM254_00635","",""
"yhaZ_2","","putative protein YhaZ","3","3","1","1","931","57","2","","1121","1121","1121","albidoflavus_J1074_00623","albidoflavus_J1074_R2_00698","albidoflavus_SM254_00631","",""
"bioF_2","","8-amino-7-oxononanoate synthase","3","3","1","1","963","57","10","","3755","3755","3755","albidoflavus_J1074_00624","albidoflavus_J1074_R2_00699","albidoflavus_SM254_00632","",""
"tetC_1","","Transposon Tn10 TetC protein","3","3","1","1","993","79","1","","590","590","590","albidoflavus_J1074_00009","albidoflavus_J1074_R2_00009","albidoflavus_SM254_00640","",""
"btuC_2","","hypothetical protein","3","3","1","1","891","51","22","","386","2876","1216","","","albidoflavus_SM254_00059","albidoflavus_UYFA156_00562","albidoflavus_W68_00492"
"group_988","","Histone deacetylase-like amidohydrolase","3","3","1","1","1002","57","8","","1148","1148","1148","albidoflavus_J1074_00015","albidoflavus_J1074_R2_00015","albidoflavus_SM254_00634","",""
"eryA","","Phenolphthiocerol synthesis polyketide synthase type I Pks15/1","2","2","1","1","259","5","10","","716","2258","1487","","","","albidoflavus_UYFA156_00104","albidoflavus_W68_00084"
"pikAII","","hypothetical protein","2","2","1","1","258","5","11","","386","2813","1599","","","","albidoflavus_UYFA156_00103","albidoflavus_W68_00083"
"group_14","","hypothetical protein","2","2","1","1","1007","57","3","","707","707","707","albidoflavus_J1074_00020","albidoflavus_J1074_R2_00020","","",""
"pikAI_1","","hypothetical protein","2","2","1","1","965","6","7","","2711","6119","4415","","","","albidoflavus_UYFA156_00030","albidoflavus_W68_00019"
"group_174","","hypothetical protein","2","2","1","1","194","20","2","","1076","1502","1289","","","","albidoflavus_UYFA156_00138","albidoflavus_W68_00110"
"cheB","","Protein-glutamate methylesterase/protein-glutamine glutaminase","2","2","1","1","546","1","51","","368","674","521","","","","albidoflavus_UYFA156_00301","albidoflavus_W68_00269"
"group_178","","IS5 family transposase IS112","2","2","1","1","971","67","2","","689","689","689","albidoflavus_J1074_00001","albidoflavus_J1074_R2_00001","","",""
"group_253","","IS5 family transposase IS1647","2","2","1","1","604","51","1","","416","416","416","albidoflavus_J1074_00263","albidoflavus_J1074_R2_00265","","",""
"group_254","","IS5 family transposase IS1647","2","2","1","1","63","62","5","","416","443","429","albidoflavus_J1074_00261","albidoflavus_J1074_R2_00263","","",""
"grsB_2","","Linear gramicidin synthase subunit B","2","2","1","1","551","1","48","","1514","12500","7007","","","","albidoflavus_UYFA156_00307","albidoflavus_W68_00271"
"murJ","","lipid II flippase MurJ","2","2","1","1","29","15","2","","485","1088","786","","","","albidoflavus_UYFA156_00435","albidoflavus_W68_00369"
"group_369","","hypothetical protein","2","2","1","1","884","51","28","","983","983","983","","","albidoflavus_SM254_00052","","albidoflavus_W68_00499"
"group_370","","hypothetical protein","2","2","1","1","51","51","40","","1205","1316","1260","","","albidoflavus_SM254_00040","","albidoflavus_W68_00511"
"vraR","","Response regulator protein VraR","2","2","1","1","50","51","39","","647","647","647","","","albidoflavus_SM254_00041","","albidoflavus_W68_00510"
"pdxI","","Pyridoxine 4-dehydrogenase","2","2","1","1","49","51","38","","836","863","849","","","albidoflavus_SM254_00042","","albidoflavus_W68_00509"
"ugtP","","Processive diacylglycerol beta-glucosyltransferase","2","2","1","1","47","51","36","","1070","1070","1070","","","albidoflavus_SM254_00044","","albidoflavus_W68_00507"
"group_374","","putative oxidoreductase","2","2","1","1","46","51","35","","791","791","791","","","albidoflavus_SM254_00045","","albidoflavus_W68_00506"
"pgdA","","Peptidoglycan-N-acetylglucosamine deacetylase","2","2","1","1","879","51","33","","770","770","770","","","albidoflavus_SM254_00047","","albidoflavus_W68_00504"
"group_376","","hypothetical protein","2","2","1","1","885","51","27","","3008","3008","3008","","","albidoflavus_SM254_00053","","albidoflavus_W68_00498"
"sdpR","","Transcriptional repressor SdpR","2","2","1","1","892","51","19","","293","293","293","","","albidoflavus_SM254_00060","","albidoflavus_W68_00491"
"group_38","","hypothetical protein","2","2","1","1","664","30","1","","434","2009","1221","","","","albidoflavus_UYFA156_00390","albidoflavus_W68_00326"
"group_381","","hypothetical protein","2","2","1","1","896","51","17","","344","464","404","","","albidoflavus_SM254_00064","albidoflavus_UYFA156_00559",""
"group_382","","hypothetical protein","2","2","1","1","899","51","16","","479","800","639","","","albidoflavus_SM254_00065","","albidoflavus_W68_00487"
"group_385","","hypothetical protein","2","2","1","1","853","2","1","","386","653","519","","","albidoflavus_SM254_00086","","albidoflavus_W68_00464"
"def_1","","Peptide deformylase","2","2","1","1","330","7","3","","245","323","284","","","","albidoflavus_UYFA156_00174","albidoflavus_W68_00146"
"group_397","","hypothetical protein","2","2","1","1","331","7","4","","551","674","612","","","","albidoflavus_UYFA156_00175","albidoflavus_W68_00147"
"maa","","Maltose O-acetyltransferase","2","2","1","1","333","7","1","","542","560","551","","","","albidoflavus_UYFA156_00177","albidoflavus_W68_00149"
"lnrK","","Transcriptional regulatory protein LnrK","2","2","1","1","99","1","4","","686","800","743","","","","albidoflavus_UYFA156_00287","albidoflavus_W68_00254"
"group_400","","hypothetical protein","2","2","1","1","94","1","62","","677","788","732","","","","albidoflavus_UYFA156_00291","albidoflavus_W68_00258"
"group_401","","hypothetical protein","2","2","1","1","92","1","59","","563","665","614","","","","albidoflavus_UYFA156_00293","albidoflavus_W68_00260"
"arsC","","Arsenate-mycothiol transferase ArsC2","2","2","1","1","538","1","58","","449","716","582","","","","albidoflavus_UYFA156_00294","albidoflavus_W68_00262"
"acr3","","hypothetical protein","2","2","1","1","539","1","57","","1109","1331","1220","","","","albidoflavus_UYFA156_00295","albidoflavus_W68_00263"
"group_404","","hypothetical protein","2","2","1","1","556","1","40","","683","761","722","","","","albidoflavus_UYFA156_00313","albidoflavus_W68_00276"
"group_405","","hypothetical protein","2","2","1","1","564","1","32","","569","569","569","","","","albidoflavus_UYFA156_00321","albidoflavus_W68_00284"
"group_406","","hypothetical protein","2","2","1","1","565","1","31","","557","557","557","","","","albidoflavus_UYFA156_00322","albidoflavus_W68_00285"
"ant1","","Streptomycin 3''-adenylyltransferase","2","2","1","1","566","1","30","","758","758","758","","","","albidoflavus_UYFA156_00323","albidoflavus_W68_00286"
"group_408","","hypothetical protein","2","2","1","1","41","10","5","","680","968","824","","","","albidoflavus_UYFA156_00372","albidoflavus_W68_00309"
